Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,CO2_ppmv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
28614.0,0.3725,6.745601799999999,90.9,5.979,225.735,412.21000000000004,28614.0,,,,0.0
28615.0,0.3725,6.7464178,92.1,5.979,221.32,415.63,28616.0,,,,0.0
28616.0,0.3725,6.746867599999999,93.3,6.029,221.91,412.54,28617.0,,,,0.0
28617.0,0.37251449999999997,6.7474614,94.3,6.029,218.35,413.02,28618.0,,,,0.0
28618.0,0.3725702,6.7484630999999995,94.6,7.211,210.72,410.64,28619.0,,,,0.0
28619.0,0.3726443,6.7493989,95.0,7.211,208.05,412.62,28620.0,,,,0.0
28620.0,0.37273979999999995,6.750258500000001,95.4,5.789,206.27,412.95,28621.0,,1055.177,,0.0
28621.0,0.37285820000000003,6.7511491999999995,96.1,5.789,206.79,412.25,28622.0,,,,0.0
28622.0,0.3730155,6.7520931,97.0,6.277,207.07,414.63,28622.0,,,,0.0
28623.0,0.3731815,6.7530891,99.8,6.277,204.9,412.7,28623.0,,,,0.0
28624.0,0.37335759999999996,6.7541454,104.6,6.022,205.93,413.53,28624.0,,,,0.0
28625.0,0.3735518,6.754906,106.1,5.956,205.34,411.34,28625.0,,,,0.0
28626.0,0.37378629999999996,6.755710799999999,105.6,5.956,206.66,410.63,28626.0,,,,0.0
28627.0,0.3741197,6.756910799999999,102.8,5.796,208.5,412.87,28627.0,,,,0.0
28628.0,0.3744673,6.7580463,102.7,5.796,208.66,414.65,28628.0,,,,0.0
28629.0,0.37480009999999997,6.759061,103.7,6.002999999999999,207.27,414.52,28629.0,,,6.84,0.0
28896.0,0.3752991,6.569660400000001,1846.8,3.762,312.29,421.44,28896.0,810.0,,,0.0
28897.0,0.3753,6.568572099999999,1853.0,3.762,310.84,420.03,28897.0,753.0,,23.85,0.0
28899.0,0.3753,6.5656133,1864.7,3.79,315.29,421.93,28899.0,,,,0.0
28900.0,0.37529029999999997,6.5643940999999995,1869.4,3.79,317.71,422.98,28900.0,,2825.1740000000004,,0.0
28909.0,0.375202,6.5534422,1911.1,7.272,322.32,424.93,28910.0,,,,0.0
28910.0,0.3752,6.552191400000001,1916.0,7.272,323.14,426.57,28911.0,,2700.094,,0.0
28911.0,0.3752,6.5509322,1920.9,6.835,324.79,427.95,28912.0,,,22.76,0.0
28912.0,0.3751502,6.5495556,1930.4,6.835,321.16,426.94,28913.0,,,,0.0
28913.0,0.3751,6.5481788,1939.9,5.96,322.08,423.53,28914.0,,,,0.0
28914.0,0.3751,6.5469288,1944.6,5.978,322.19,423.36,28914.0,,,,0.0
28915.0,0.3751,6.545733900000001,1949.1,5.978,325.47,424.07,28915.0,,,,0.0
28916.0,0.3751,6.545052200000001,1951.7,5.834,327.37,423.33,28916.0,,,23.77,0.0
28917.0,0.3751127,6.544196,1955.2,5.834,326.06,421.99,28917.0,,,,0.0
28918.0,0.3751793,6.542596,1962.7,6.085,327.83,423.88,28918.0,,,,0.0
28919.0,0.3752384,6.541140599999999,1970.3,6.085,328.53,422.41,28919.0,,,,0.0
28920.0,0.375294,6.5397502,1977.9,6.705,330.74,424.06,28920.0,,2652.072,22.63,0.0
28921.0,0.37538920000000003,6.538485,1986.1,6.705,331.13,421.85,28921.0,,,,0.0
28922.0,0.3754892,6.537235,1994.3,5.739,335.33,420.48,28922.0,,,,0.0
28923.0,0.37554679999999996,6.5359305999999995,2001.4,5.739,339.16,420.95,28923.0,,,,0.0
28924.0,0.3755992,6.5346197,2008.2,6.155,351.94,422.58,28924.0,,,,0.0
28925.0,0.3756985,6.533418,2014.8,6.155,375.4,420.53,28926.0,,,29.0,0.0
28926.0,0.37579850000000004,6.532218,2021.3,6.27,396.7,421.79,28927.0,,,,0.0
28927.0,0.3758985,6.5309694,2027.0,6.27,415.47,425.49,28928.0,,,,0.0
28928.0,0.3759984,6.529719999999999,2032.6,5.792999999999999,426.07,428.32,28929.0,,,,0.0
28929.0,0.376094,6.5285252,2039.9,5.792999999999999,431.01,429.3,28930.0,,,,0.0
28930.0,0.3761895,6.527331299999999,2047.1,6.604,432.82,426.6,28931.0,1466.0,3247.855,39.08,0.0
28931.0,0.376285,6.5261374000000005,2053.0,6.604,436.97,426.02,28932.0,1301.0,,,0.0
28932.0,0.3763805,6.524943599999999,2058.7,5.898,432.93,423.56,28933.0,1256.0,,,0.0
28933.0,0.3765317,6.523646299999999,2064.4,5.898,438.75,426.28,28934.0,1194.0,,,0.0
28934.0,0.3766972,6.5223225,2070.1,6.021,438.84,426.68,28934.0,1194.0,,,0.0
28935.0,0.37675770000000003,6.5215501,2073.4,6.114,440.5,427.14,28935.0,1132.0,,39.28,0.0
28936.0,0.3768295,6.5206459,2077.6,6.114,439.41,428.18,28936.0,961.0,,,0.0
28937.0,0.37693530000000003,6.5193767,2084.3,6.202000000000001,437.39,428.64,28937.0,,,,0.0
28938.0,0.3770611,6.5180910999999995,2089.5,6.202000000000001,440.78,430.67,28938.0,,,,0.0
28939.0,0.3772185,6.5167794,2092.0,6.562,439.08,429.03,28939.0,,,,0.0
28940.0,0.3773857,6.5153861,2096.1,6.562,436.93,427.91,28940.0,,4506.934,38.46,0.0
28941.0,0.3775634,6.5139051,2101.7,6.221,438.19,426.5,28941.0,,,,0.0
28942.0,0.37773140000000005,6.5125051,2107.2,6.221,439.27,424.82,28942.0,,,,0.0
28943.0,0.3778969,6.5111262000000005,2112.8,5.691,440.105,424.355,28943.0,,,,0.0
28944.0,0.3779981,6.5098744,2117.8,5.691,442.49,426.74,28945.0,,,38.31,0.0
28945.0,0.378098,6.508625,2122.8,6.928,440.56,423.86,28946.0,916.0,,,0.0
28946.0,0.37825549999999997,6.5073044,2127.4,6.398,442.23,425.26,28947.0,982.0,,,0.0
28947.0,0.3784098,6.5060362000000005,2131.6,6.398,449.75,429.35,28948.0,1137.0,,,0.0
28948.0,0.37852009999999997,6.5053190999999995,2132.6,5.9479999999999995,445.78,425.47,28949.0,1207.0,,,0.0
28949.0,0.37864380000000003,6.504435099999999,2134.9,5.9479999999999995,452.65,433.06,28950.0,1344.0,,38.68,0.0
28950.0,0.37880240000000004,6.503113099999999,2140.7,6.684,445.78,429.4,28951.0,1398.0,4795.106,,0.0
28951.0,0.37893649999999995,6.5018438,2146.0,6.684,440.09,422.93,28952.0,1377.0,,,0.0
28952.0,0.3790313,6.500659,2150.5,6.111000000000001,441.38,425.06,28953.0,1480.0,,,0.0
28953.0,0.37914359999999997,6.4994364000000004,2155.0,6.111000000000001,440.9,427.01,28953.0,1480.0,,,0.0
28954.0,0.3793023,6.4981144,2159.7,6.608,440.75,426.69,28954.0,1550.0,,39.5,0.0
28955.0,0.37946409999999997,6.4967657999999995,2164.6,6.608,441.71,431.24,28955.0,1514.0,,,0.0
28956.0,0.37963109999999994,6.4953746,2169.8,6.649,439.46,425.53,28956.0,1513.0,,,0.0
28957.0,0.379788,6.4940666,2174.7,6.649,435.78,423.06,28957.0,1495.0,,,0.0
28958.0,0.37993790000000005,6.4928172,2179.3,6.098,439.73,427.14,28958.0,,,,0.0
28959.0,0.3800647,6.4914592,2184.2,6.098,438.61,427.55,28959.0,,,37.73,0.0
28960.0,0.3801751,6.490024299999999,2189.4,5.976,428.92,421.04,28960.0,,4498.457,,0.0
28961.0,0.3803376,6.488553700000001,2194.9,5.976,442.01,434.16,28961.0,,,,0.0
28962.0,0.3805045,6.4871414000000005,2200.1,6.537000000000001,434.575,429.40999999999997,28962.0,,,,0.0
28963.0,0.38055690000000003,6.4864597,2200.7,6.146,439.17,432.51,28964.0,,,,0.0
28964.0,0.3806337,6.4856193,2202.9,6.146,434.04,428.22,28965.0,,,37.76,0.0
28965.0,0.3808219,6.484050900000001,2211.9,6.034,433.45,430.16,28966.0,,,,0.0
28966.0,0.3809416,6.4828595,2216.1,6.034,431.69,429.87,28967.0,,,,0.0
28967.0,0.38102800000000003,6.4818665,2218.1,6.0120000000000005,429.41,430.04,28968.0,,,,0.0
28968.0,0.3811854,6.4805549000000005,2225.7,6.122000000000001,424.29,430.08,28969.0,,,36.85,0.0
28969.0,0.38133629999999996,6.4792556,2232.4,6.122000000000001,420.8,427.42,28970.0,,,,0.0
28974.0,0.38200270000000003,6.472924400000001,2255.5,0.698,410.49,426.71,28974.0,,,,0.0
28975.0,0.38214940000000003,6.4713582999999995,2261.8,0.698,403.86,424.53,28975.0,,,,0.0
28976.0,0.3823322,6.469190900000001,2272.2,0.526,410.93,430.05,28976.0,,,,0.0
28977.0,0.3825074,6.4680114,2280.0,0.524,408.48,430.8,28977.0,,,,0.0
28978.0,0.3825975,6.4669303,2284.6,0.524,408.12,432.12,28978.0,,,37.65,0.0
28979.0,0.38268759999999996,6.4657606,2289.1,0.522,410.41,430.28,28979.0,,,,0.0
