Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,CO2_ppmv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
37278.0,-5.3137428,5.1570784000000005,3035.3,0.08,180.78,433.98,37278.0,,,,0.0
37279.0,-5.3132012,5.1560023,3031.1,0.081,180.27,434.64,37279.0,,,,0.0
37280.0,-5.312728400000001,5.1549082,3026.2,0.08199999999999999,178.07,432.64,37280.0,,916.688,,0.0
37281.0,-5.3119428,5.1530227,3017.2,0.08,174.62,432.43,37281.0,,,5.18,0.0
37282.0,-5.3113746,5.1515237,3010.8,0.08,177.83,431.85,37282.0,,,,0.0
37283.0,-5.3110113,5.1503868,3005.7,0.08,183.43,432.17,37283.0,,,,0.0
37284.0,-5.3106478,5.1492434000000005,3000.0,0.083,181.96,430.91,37284.0,,,,0.0
37285.0,-5.3102856,5.148128099999999,2995.2,0.08199999999999999,181.73,431.67,37285.0,,,,0.0
37286.0,-5.309939900000001,5.146959799999999,2990.2,0.081,185.245,429.22,37286.0,,,5.5,0.0
37287.0,-5.309666200000001,5.1458535,2985.3,0.085,190.66,429.61,37288.0,,,,0.0
37288.0,-5.3093956,5.1446824,2981.5,0.085,194.19,429.39,37289.0,,,,0.0
37289.0,-5.3091214,5.1435856,2976.2,0.084,192.34,426.48,37290.0,,,,0.0
37290.0,-5.3089337,5.1424192,2971.2,0.083,199.31,426.44,37291.0,,1042.5810000000001,,0.0
37291.0,-5.3087514,5.1412339000000005,2966.7,0.084,200.51,428.04,37292.0,,,7.78,0.0
37292.0,-5.3084371,5.1392569,2958.8,0.084,203.65,430.77,37293.0,,,,0.0
37293.0,-5.308243599999999,5.137667400000001,2951.7,0.085,205.96,428.87,37294.0,,,,0.0
37294.0,-5.3081528,5.136486799999999,2946.1,0.085,208.74,429.93,37295.0,,,,0.0
37295.0,-5.3080619,5.1353053,2940.9,0.085,204.35,425.67,37295.0,,,7.55,0.0
37296.0,-5.308,5.1341567,2936.4,0.086,208.6,429.79,37296.0,,,,0.0
37297.0,-5.308,5.1330398,2931.9,0.086,207.39,429.51,37297.0,,,,0.0
37298.0,-5.308,5.1318535,2926.4,0.086,206.56,430.16,37298.0,,,,0.0
37299.0,-5.308,5.130681,2922.0,0.087,209.8,429.38,37299.0,,,,0.0
37300.0,-5.308,5.1294927,2915.3,0.087,212.92,429.25,37300.0,,1187.198,8.18,0.0
37301.0,-5.3080831,5.1283192,2911.5,0.087,205.3,428.65,37301.0,,,,0.0
37302.0,-5.3081,5.1272082,2908.4,0.08800000000000001,209.3,429.43,37302.0,,,,0.0
37303.0,-5.3082972,5.125191200000001,2899.1,0.08800000000000001,208.875,430.135,37303.0,,,,0.0
37304.0,-5.308456400000001,5.1236237000000004,2892.5,0.08900000000000001,207.52,427.25,37305.0,,,,0.0
37305.0,-5.3085943,5.1224868,2887.7,0.08900000000000001,201.79,426.65,37306.0,,,7.23,0.0
37306.0,-5.3087761,5.1213434,2882.2,0.09,205.74,427.9,37307.0,,,,0.0
37307.0,-5.3089858,5.120228099999999,2877.1,0.09,201.66,426.66,37308.0,,,,0.0
37308.0,-5.3092592000000005,5.119063,2871.7,0.091,208.05,429.23,37309.0,,,,0.0
37309.0,-5.309520099999999,5.1179793,2867.0,0.09300000000000001,205.97,427.52,37310.0,,,,0.0
37310.0,-5.3097044,5.116880999999999,2864.4,0.092,207.07,429.62,37311.0,,1215.893,6.0,0.0
37311.0,-5.309978599999999,5.1156927,2859.7,0.091,206.41,426.55,37312.0,,,,0.0
