Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,CO2_ppmv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
38806.0,-11.1117962,5.1261158,870.9,10.479000000000001,87.01,415.76,38807.0,69.0,,,0.0
38807.0,-11.11107,5.1267513,867.9,10.674000000000001,84.75,415.28,38808.0,59.0,,13.52,0.0
38808.0,-11.1103189,5.1274085,864.8,10.674000000000001,85.52,414.96,38809.0,69.0,,,0.0
38809.0,-11.1095602,5.1280722999999995,861.8,9.955,84.63,416.4,38810.0,69.0,,,0.01
38810.0,-11.1087094,5.1287864,858.0,9.955,86.45,416.67,38811.0,92.0,142.873,,0.01
38811.0,-11.1078104,5.1295268,853.8,9.975,84.1,416.42,38811.0,92.0,,12.96,0.0
38812.0,-11.1070089,5.130152,850.5,9.975,85.18,417.6,38812.0,84.0,,,0.0
38813.0,-11.106237199999999,5.130742099999999,847.5,9.759,83.14,415.78,38813.0,78.0,,,0.0
38814.0,-11.1054215,5.1313378,843.5,9.759,82.5,415.29,38814.0,74.0,,,0.0
38815.0,-11.1045715,5.131937799999999,839.0,10.373,84.78,416.06,38815.0,65.0,,,0.0
38816.0,-11.1037588,5.132518599999999,835.2,10.373,86.54,417.12,38816.0,63.0,,13.64,0.0
38817.0,-11.1029752,5.1330846,832.0,10.704,84.22,417.66,38817.0,69.0,,,0.0
38818.0,-11.1021606,5.1336463,828.7,10.704,85.42,418.29,38818.0,78.0,,,0.0
38819.0,-11.1012606,5.134196299999999,825.0,9.454,83.89,415.63,38819.0,87.0,,,0.0
38820.0,-11.1003606,5.1347463,820.8,9.454,84.22999999999999,415.745,38820.0,77.0,174.00400000000002,16.11,0.0
38821.0,-11.0994606,5.135296299999999,815.0,9.449,83.16,417.54,38822.0,54.0,,,0.0
38822.0,-11.098534800000001,5.1358535000000005,810.0,9.449,83.89,415.93,38823.0,88.0,,,0.0
38823.0,-11.097538,5.1364306,807.1,10.329,83.31,415.01,38824.0,77.0,,,0.0
38824.0,-11.09654,5.1369620000000005,803.9,10.329,84.86,417.35,38825.0,61.0,,21.75,0.0
38825.0,-11.09554,5.137412,799.9,9.163,84.23,415.66,38826.0,74.0,,,0.0
38826.0,-11.094558000000001,5.137862,795.6,9.163,84.6,415.78,38827.0,71.0,,,0.0
38827.0,-11.093608,5.138312,790.7,9.964,84.03,416.94,38828.0,70.0,,,0.0
38828.0,-11.09264,5.138744,786.7,9.964,84.19,416.8,38828.0,70.0,,19.91,0.0
38829.0,-11.09164,5.139144,784.1,10.117,84.95,415.04,38829.0,72.0,,,0.0
38830.0,-11.090622,5.139526,780.7,10.117,84.34,414.6,38830.0,76.0,151.938,,0.0
38831.0,-11.089572,5.139876,776.0,9.559,83.88,416.0,38831.0,74.0,,,0.0
38832.0,-11.088393400000001,5.1402471,771.0,9.559,84.12,412.19,38832.0,49.0,,,0.0
38833.0,-11.0869862,5.1406556,765.4,11.094000000000001,84.66,415.3,38833.0,62.0,,19.07,0.0
38834.0,-11.0856426,5.141030000000001,760.2,11.094000000000001,84.75,415.6,38834.0,77.0,,,0.0
38835.0,-11.0846397,5.141221,756.4,9.821,82.75,414.73,38835.0,85.0,,,0.0
38836.0,-11.0836306,5.141413200000001,752.6,9.821,84.05,415.54,38836.0,46.0,,,0.0
38837.0,-11.0825288,5.1416231,748.4,9.968,84.83500000000001,416.72,38837.0,60.0,,20.52,0.0
38838.0,-11.0814351,5.141831400000001,744.0,9.968,84.65,414.11,38839.0,64.0,,,0.0
38839.0,-11.0803852,5.1420314000000005,738.4,9.942,85.46,413.72,38840.0,48.0,,,0.0
38840.0,-11.0793421,5.1422144,733.5,9.942,84.18,412.32,38841.0,52.0,153.667,,0.0
38842.0,-11.0773312,5.1423972000000004,730.9,9.494,84.4,412.78,38843.0,62.0,,,0.0
38843.0,-11.076414,5.1424403,727.7,9.494,86.22,414.56,38844.0,59.0,,,0.0
38844.0,-11.0754996,5.1424818,724.4,9.408999999999999,85.96,414.43,38845.0,66.0,,,0.0
38845.0,-11.0744797,5.1425295,720.6,9.408999999999999,83.78,415.43,38846.0,64.0,,,0.0
38846.0,-11.0733779,5.142582,716.5,9.982999999999999,84.75,413.21,38846.0,64.0,,25.48,0.0
38847.0,-11.0723955,5.142627500000001,712.9,9.982999999999999,84.82,414.22,38847.0,75.0,,,0.0
38848.0,-11.0714754,5.1426693,709.6,9.091000000000001,85.06,414.33,38848.0,54.0,,,0.0
38849.0,-11.0704136,5.1427121,705.9,9.091000000000001,85.07,413.95,38849.0,75.0,,,0.0
38850.0,-11.0689611,5.1427575,701.4,9.754,85.08,415.75,38850.0,59.0,147.615,25.05,0.0
38851.0,-11.0675343,5.142803,696.9,9.754,84.22,416.95,38851.0,54.0,,,0.0
38853.0,-11.065448,5.142897799999999,690.2,9.645,85.0,412.56,38853.0,66.0,,,0.0
38854.0,-11.0644844,5.1429436,686.7,9.645,84.215,414.925,38854.0,59.0,,25.93,0.0
38855.0,-11.0635246,5.1429893,683.3,9.685,84.68,414.74,38856.0,55.0,,,0.0
38856.0,-11.062604199999999,5.1430331,679.8,9.685,85.29,414.97,38857.0,78.0,,,0.0
38857.0,-11.0616959,5.1430764,676.4,9.359,86.5,414.41,38858.0,60.0,,,0.0
38858.0,-11.060723,5.1431217,672.9,9.359,85.45,416.53,38859.0,55.0,,24.8,0.0
38859.0,-11.0596724,5.143169400000001,669.4,10.187999999999999,83.78,415.25,38860.0,62.0,,,0.0
38860.0,-11.058639,5.143234400000001,665.8,10.187999999999999,84.66,414.22,38861.0,68.0,145.131,,0.0
38861.0,-11.0576361,5.1433299,661.9,11.53,83.82,415.39,38862.0,66.0,,,0.0
38862.0,-11.0566207,5.1434133,658.2,11.53,85.59,416.02,38863.0,42.0,,25.95,0.0
38863.0,-11.055570699999999,5.1434633000000005,655.1,9.445,86.47,416.13,38863.0,42.0,,,0.0
38864.0,-11.0543964,5.1435378,651.6,9.445,84.23,413.91,38864.0,46.0,,,0.0
38865.0,-11.0528791,5.1436801,646.7,9.666,84.92,413.04,38865.0,63.0,,,0.0
38866.0,-11.051435099999999,5.143807499999999,641.8,9.666,85.79,414.65,38866.0,57.0,,,0.0
41372.0,-10.2248418,4.9997254,1121.9,0.56,109.64,419.78,41372.0,70.0,,,0.0
41373.0,-10.2252584,4.9997,1121.5,0.561,110.89,420.26,41373.0,92.0,,,0.0
41374.0,-10.2262565,4.9997,1121.7,0.561,111.38,420.855,41374.0,82.0,,,0.0
41375.0,-10.2272243,4.9997,1122.2,0.551,111.85,420.47,41376.0,84.0,,,0.0
41376.0,-10.228403199999999,4.9997,1121.4,0.556,110.6,420.75,41377.0,82.0,,,0.0
41377.0,-10.2302579,4.9997,1121.7,0.574,112.12,420.36,41378.0,86.0,,,0.0
41378.0,-10.2312568,4.9997,1123.7,0.581,113.32,420.56,41379.0,63.0,,,0.0
41379.0,-10.2321585,4.9997,1122.3,0.581,114.06,420.81,41380.0,83.0,,,0.0
41380.0,-10.2331592,4.9997,1124.9,0.581,111.86,419.39,41381.0,96.0,332.897,,0.0
41381.0,-10.2341647,4.9997,1125.6,0.5870000000000001,114.86,420.94,41382.0,95.0,,,0.0
41382.0,-10.235159800000002,4.9997,1122.7,0.588,112.97,420.79,41383.0,103.0,,,0.0
41383.0,-10.2361606,4.9997,1122.5,0.591,113.39,421.37,41383.0,103.0,,,0.0
41384.0,-10.2371077,4.9997508,1122.3,0.593,111.87,418.69,41384.0,93.0,,,0.0
41385.0,-10.2380565,4.9998,1121.1,0.593,112.86,420.21,41385.0,114.0,,,0.0
41386.0,-10.239061999999999,4.9998,1121.3,0.588,111.96,418.95,41386.0,98.0,,,0.0
41387.0,-10.240327699999998,4.9998,1122.1,0.586,109.22,419.6,41387.0,110.0,,,0.0
41388.0,-10.2421435,4.9998,1121.3,0.586,108.89,420.33,41388.0,85.0,,,0.0
41389.0,-10.2430625,4.9998,1120.6,0.588,107.08,418.29,41389.0,91.0,,,0.0
41390.0,-10.244054400000001,4.9998,1118.7,0.584,107.78,420.62,41390.0,102.0,302.178,,0.0
41391.0,-10.245059199999998,4.9998,1121.3,0.583,107.77,419.45,41391.0,104.0,,,0.0
41392.0,-10.2460523,4.9998,1121.0,0.575,109.495,421.63,41392.0,101.0,,,0.0
41393.0,-10.2470548,4.9998,1121.2,0.575,110.64,419.41,41394.0,75.0,,,0.0
41394.0,-10.2480005,4.9998,1121.4,0.5760000000000001,109.35,420.3,41395.0,99.0,,,0.0
41395.0,-10.248958400000001,4.9998508,1121.1,0.573,110.83,418.69,41396.0,89.0,,,0.0
41396.0,-10.2499565,4.9999,1121.9,0.573,109.62,416.95,41397.0,113.0,,,0.0
41397.0,-10.2509568,4.9999,1122.8,0.57,108.5,419.08,41398.0,94.0,,,0.0
41398.0,-10.2519709,4.9999002,1121.4,0.58,105.96,420.56,41399.0,92.0,,,0.0
41542.0,-10.4080264,4.9999997,1123.8,0.539,99.28,419.42,41543.0,100.0,,,0.0
41543.0,-10.409058400000001,5.0,1123.8,0.5379999999999999,99.12,419.13,41544.0,116.0,,,0.0
41544.0,-10.4100565,5.0,1122.2,0.5379999999999999,101.51,417.54,41545.0,106.0,,,0.0
41545.0,-10.4110568,5.0,1120.7,0.5329999999999999,100.12,420.31,41545.0,106.0,,,0.0
41546.0,-10.4122803,5.0,1122.7,0.532,99.99,422.17,41546.0,126.0,,,0.0
41547.0,-10.4140579,5.0000144,1123.0,0.532,98.65,418.41,41547.0,99.0,,,0.0
41548.0,-10.4150625,5.0001,1121.8,0.535,99.65,419.32,41548.0,108.0,,,0.0
41549.0,-10.4160544,5.0001,1124.3,0.5329999999999999,98.06,418.6,41549.0,119.0,,,0.0
41550.0,-10.417059199999999,5.0001,1124.1,0.536,98.73,418.51,41550.0,111.0,157.039,,0.0
41551.0,-10.417986099999998,5.0001,1122.2,0.539,101.27,420.16,41551.0,92.0,,,0.0
41552.0,-10.418959800000001,5.0001,1121.0,0.524,98.74,420.29,41552.0,103.0,,,0.0
41553.0,-10.4199606,5.0001,1121.1,0.532,99.19,420.2,41553.0,124.0,,,0.0
41554.0,-10.4209584,5.0001,1121.4,0.539,99.765,420.46500000000003,41554.0,105.0,,,0.0
41555.0,-10.4219565,5.0001,1121.4,0.539,100.45,420.7,41556.0,100.0,,,0.0
41556.0,-10.422962,5.0001,1121.7,0.5429999999999999,100.4,419.62,41557.0,104.0,,,0.0
41557.0,-10.4242037,5.0001,1121.8,0.542,99.41,419.17,41558.0,117.0,,,0.0
41558.0,-10.4259579,5.0001,1120.4,0.544,99.4,419.61,41559.0,119.0,,,0.0
41559.0,-10.4269625,5.0001,1119.9,0.5429999999999999,101.1,419.65,41560.0,108.0,,,0.0
41560.0,-10.4279544,5.0001,1120.7,0.537,102.45,420.43,41561.0,115.0,172.77599999999998,,0.0
41561.0,-10.4289592,5.0001,1121.8,0.534,102.17,419.81,41562.0,98.0,,,0.0
41562.0,-10.4298861,5.0001,1121.0,0.536,101.39,419.28,41563.0,97.0,,,0.0
41563.0,-10.430859800000002,5.0001691,1121.8,0.539,102.09,418.75,41563.0,97.0,,,0.0
41564.0,-10.4318606,5.0002,1122.3,0.541,101.97,420.21,41564.0,127.0,,,0.0
41565.0,-10.4328584,5.0002,1122.1,0.5379999999999999,103.56,421.22,41565.0,118.0,,,0.0
41566.0,-10.433856500000001,5.0002,1120.5,0.5379999999999999,101.76,417.87,41566.0,109.0,,,0.0
41567.0,-10.4348291,5.0002,1119.2,0.541,101.14,419.95,41567.0,113.0,,,0.0
41568.0,-10.436027699999999,5.0002,1120.9,0.542,101.67,420.37,41568.0,100.0,,,0.0
41569.0,-10.4378579,5.0002,1120.8,0.551,102.47,418.75,41569.0,103.0,,,0.0
41570.0,-10.4388625,5.0002,1122.7,0.551,102.64,416.03,41570.0,115.0,173.88,,0.0
41571.0,-10.439854400000002,5.0002,1120.0,0.55,101.49,419.92,41571.0,119.0,,,0.0
41572.0,-10.440859199999998,5.0002,1120.9,0.537,101.13,419.30999999999995,41572.0,128.0,,,0.0
41573.0,-10.441774800000001,5.0002,1121.3,0.527,100.85,421.26,41574.0,115.0,,,0.0
41574.0,-10.442754800000001,5.0002,1119.5,0.522,100.79,419.24,41575.0,127.0,,,0.0
41575.0,-10.4437606,5.0002,1119.2,0.515,101.74,419.33,41576.0,129.0,,,0.0
41576.0,-10.4447584,5.0002,1118.9,0.526,99.94,420.69,41577.0,114.0,,,0.0
41577.0,-10.4457565,5.0002,1117.7,0.526,102.23,419.49,41578.0,111.0,,,0.0
41578.0,-10.4467243,5.0002,1118.1,0.532,101.43,416.68,41579.0,123.0,,,0.0
41579.0,-10.447903199999999,5.0002,1120.4,0.54,103.74,417.46,41580.0,119.0,,,0.0
41580.0,-10.4497579,5.0002,1119.5,0.54,102.2,419.14,41581.0,109.0,177.482,,0.0
41581.0,-10.4507625,5.0002,1121.6,0.545,103.67,420.12,41581.0,109.0,,,0.0
41582.0,-10.4517544,5.0002,1124.6,0.546,100.99,419.68,41582.0,123.0,,,0.0
41583.0,-10.4528302,5.0001987,1124.7,0.546,101.29,419.55,41583.0,95.0,,,0.0
41732.0,-10.6137281,5.000000599999999,1123.5,0.541,102.94,421.25,41732.0,125.0,,,0.0
41733.0,-10.6147584,5.0,1122.3,0.536,103.88,421.06,41733.0,99.0,,,0.0
41734.0,-10.6157565,5.0,1120.8,0.536,102.99,420.53,41735.0,144.0,,,0.0
41735.0,-10.6167291,5.0,1121.3,0.522,102.85,420.75,41736.0,128.0,,,0.0
41736.0,-10.6179277,5.0,1123.1,0.517,102.29,420.84,41737.0,114.0,,,0.0
41737.0,-10.6197579,5.0,1122.7,0.519,103.78,421.66,41738.0,131.0,,,0.0
41738.0,-10.6207625,5.0,1121.7,0.509,104.16,419.71,41739.0,129.0,,,0.0
41739.0,-10.6217544,5.0,1122.8,0.519,103.85,421.1,41740.0,118.0,,,0.0
41740.0,-10.622759199999999,5.0,1120.0,0.512,103.1,420.46,41741.0,126.0,224.321,,0.0
41741.0,-10.623764699999999,5.0,1120.2,0.515,103.01,420.86,41742.0,108.0,,,0.0
41742.0,-10.624690699999999,5.0,1121.1,0.516,104.77,421.1,41742.0,108.0,,,0.0
41743.0,-10.6256606,5.0,1120.4,0.51,104.5,420.48,41743.0,105.0,,,0.0
41744.0,-10.6266584,5.0,1120.9,0.507,104.59,422.08,41744.0,121.0,,,0.0
41745.0,-10.6276565,5.0,1121.6,0.507,102.74,421.03,41745.0,104.0,,,0.0
41746.0,-10.628662,5.0,1121.3,0.504,102.01,420.3,41746.0,108.0,,,0.0
41747.0,-10.629927699999998,5.0,1121.7,0.495,102.4,421.09,41747.0,122.0,,,0.0
41748.0,-10.631743499999999,5.0,1121.6,0.494,103.89,419.81,41748.0,127.0,,,0.0
41749.0,-10.6326625,5.0,1121.3,0.49200000000000005,103.91,420.77,41749.0,136.0,,,0.0
41750.0,-10.633654400000001,5.0,1120.2,0.488,102.84,420.08,41750.0,125.0,213.622,,0.0
41751.0,-10.6346592,5.0,1120.1,0.496,103.19,419.845,41751.0,127.0,,,0.0
41752.0,-10.6356647,5.0,1121.6,0.496,103.07,418.99,41753.0,117.0,,,0.0
41753.0,-10.636659800000002,5.0,1120.9,0.503,101.47,418.21,41754.0,129.0,,,0.0
41754.0,-10.6376606,5.0,1120.4,0.503,102.1,420.6,41755.0,119.0,,,0.0
