Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
27026.8, 27030.8, 27028.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27031.3, 27035.3, 27033.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27035.5, 27039.5, 27037.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27039.8, 27043.8, 27041.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27044.0, 27048.0, 27046.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27048.2, 27052.2, 27050.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27052.5, 27056.5, 27054.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27056.7, 27060.7, 27058.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27060.9, 27064.9, 27062.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27065.1, 27069.1, 27067.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27069.4, 27073.4, 27071.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27073.6, 27077.6, 27075.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27077.9, 27081.9, 27079.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27082.1, 27086.1, 27084.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27086.4, 27090.4, 27088.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27090.6, 27094.6, 27092.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27094.9, 27098.9, 27096.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27099.1, 27103.1, 27101.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27103.4, 27107.4, 27105.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27107.6, 27111.6, 27109.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27111.8, 27115.8, 27113.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27116.1, 27120.1, 27118.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27121.4, 27125.4, 27123.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
