Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
28195.0, 28199.0, 28197.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28200.3, 28204.3, 28202.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28205.1, 28209.1, 28207.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28209.8, 28213.8, 28211.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28214.6, 28218.6, 28216.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28219.4, 28223.4, 28221.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28607.7, 28611.7, 28609.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28612.6, 28616.6, 28614.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28617.3, 28621.3, 28619.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28622.1, 28626.1, 28624.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28626.8, 28630.8, 28628.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28631.5, 28635.5, 28633.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28636.3, 28640.3, 28638.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28641.0, 28645.0, 28643.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28645.8, 28649.8, 28647.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28650.6, 28654.6, 28652.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28655.4, 28659.4, 28657.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28660.2, 28664.2, 28662.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28664.9, 28668.9, 28666.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28669.8, 28673.8, 28671.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28674.5, 28678.5, 28676.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28679.3, 28683.3, 28681.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28684.1, 28688.1, 28686.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28688.9, 28692.9, 28690.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28693.7, 28697.7, 28695.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28698.5, 28702.5, 28700.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28703.3, 28707.3, 28705.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28708.0, 28712.0, 28710.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28712.8, 28716.8, 28714.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28717.5, 28721.5, 28719.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28722.3, 28726.3, 28724.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28727.1, 28731.1, 28729.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28731.8, 28735.8, 28733.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28736.6, 28740.6, 28738.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28741.4, 28745.4, 28743.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28746.2, 28750.2, 28748.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28751.0, 28755.0, 28753.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28755.8, 28759.8, 28757.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28760.5, 28764.5, 28762.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28765.3, 28769.3, 28767.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28770.1, 28774.1, 28772.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28774.9, 28778.9, 28776.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28779.7, 28783.7, 28781.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28784.4, 28788.4, 28786.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28789.2, 28793.2, 28791.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28794.0, 28798.0, 28796.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28798.8, 28802.8, 28800.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28803.6, 28807.6, 28805.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28808.4, 28812.4, 28810.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28813.2, 28817.2, 28815.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28818.0, 28822.0, 28820.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28822.8, 28826.8, 28824.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28827.6, 28831.6, 28829.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28832.3, 28836.3, 28834.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28837.2, 28841.2, 28839.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28842.0, 28846.0, 28844.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28846.8, 28850.8, 28848.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28851.5, 28855.5, 28853.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28856.4, 28860.4, 28858.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28861.1, 28865.1, 28863.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28865.9, 28869.9, 28867.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28870.7, 28874.7, 28872.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28875.5, 28879.5, 28877.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28880.3, 28884.3, 28882.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28885.0, 28889.0, 28887.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28889.9, 28893.9, 28891.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28894.6, 28898.6, 28896.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28899.5, 28903.5, 28901.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28904.3, 28908.3, 28906.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
28909.1, 28913.1, 28911.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
