Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
26824.3, 26828.3, 26826.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26828.7, 26832.7, 26830.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26832.9, 26836.9, 26834.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26837.2, 26841.2, 26839.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26841.4, 26845.4, 26843.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26845.7, 26849.7, 26847.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26849.9, 26853.9, 26851.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26854.1, 26858.1, 26856.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26858.3, 26862.3, 26860.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26862.6, 26866.6, 26864.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26866.9, 26870.9, 26868.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26871.1, 26875.1, 26873.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26875.3, 26879.3, 26877.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26879.6, 26883.6, 26881.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26883.8, 26887.8, 26885.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26888.1, 26892.1, 26890.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
26892.3, 26896.3, 26894.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27366.6, 27370.6, 27368.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27371.6, 27375.6, 27373.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27376.3, 27380.3, 27378.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27381.2, 27385.2, 27383.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27385.9, 27389.9, 27387.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27390.8, 27394.8, 27392.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27395.6, 27399.6, 27397.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27400.4, 27404.4, 27402.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27405.1, 27409.1, 27407.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27409.9, 27413.9, 27411.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27414.6, 27418.6, 27416.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27419.4, 27423.4, 27421.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27424.1, 27428.1, 27426.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27428.8, 27432.8, 27430.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27433.6, 27437.6, 27435.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27438.4, 27442.4, 27440.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27443.2, 27447.2, 27445.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27447.9, 27451.9, 27449.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27452.7, 27456.7, 27454.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27457.4, 27461.4, 27459.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27462.2, 27466.2, 27464.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27467.0, 27471.0, 27469.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27471.7, 27475.7, 27473.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27476.5, 27480.5, 27478.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27481.2, 27485.2, 27483.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27486.0, 27490.0, 27488.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27490.7, 27494.7, 27492.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27495.4, 27499.4, 27497.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27500.2, 27504.2, 27502.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27505.0, 27509.0, 27507.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27509.8, 27513.8, 27511.8, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27514.5, 27518.5, 27516.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
27519.3, 27523.3, 27521.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
