Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
28948.1, 28952.1, 28950.1,  0.27,  0.77,  0.33,  1.32,  0.07,  0.45,  0.01,  0.00,  1.49,  0.39
28952.8, 28956.8, 28954.8,  0.17,  0.59,  0.16,  2.03, -0.02,  0.54, -0.08,  0.04,  1.16,  0.39
28957.6, 28961.6, 28959.6,  0.03,  0.57,  0.25,  1.27, -0.00,  0.57,  0.03, -0.04,  1.27,  0.34
28962.4, 28966.4, 28964.4, -0.07,  0.67,  0.31,  0.45,  0.00,  0.35, -0.01, -0.05,  1.48,  0.31
28967.1, 28971.1, 28969.1,  0.17,  0.60,  0.29,  0.77,  0.02,  0.43, -0.06, -0.02,  1.26,  0.38
28971.9, 28975.9, 28973.9,  0.25,  0.69,  0.34,  1.21,  0.05,  0.53,  0.01,  0.03,  1.29,  0.53
28976.7, 28980.7, 28978.7,  0.32,  0.71,  0.23,  1.50,  0.09,  0.66,  0.01, -0.03,  1.23,  0.56
28981.5, 28985.5, 28983.5,  0.01,  0.51,  0.21,  1.22,  0.01,  0.44, -0.12,  0.02,  1.36,  0.30
28986.3, 28990.3, 28988.3,  0.03,  0.80,  0.35,  1.89,  0.04,  0.71,  0.05, -0.03,  1.36,  0.62
28991.0, 28995.0, 28993.0,  0.03,  0.79,  0.34,  0.57, -0.04,  0.56, -0.02,  0.03,  1.33,  0.57
28995.8, 28999.8, 28997.8,  0.04,  0.67,  0.20,  1.70,  0.03,  0.40,  0.09,  0.04,  1.48,  0.33
29000.6, 29004.6, 29002.6,  0.09,  0.35,  0.20,  1.16, -0.01,  0.61, -0.14,  0.00,  1.47,  0.47
29005.4, 29009.4, 29007.4, -0.04,  0.45,  0.18,  1.04,  0.01,  0.59,  0.04, -0.06,  1.23,  0.59
29010.2, 29014.2, 29012.2,  0.08,  0.54,  0.24,  1.96,  0.04,  0.49,  0.07, -0.01,  1.37,  0.44
29015.0, 29019.0, 29017.0,  0.31,  0.41,  0.29,  0.45,  0.03,  0.45, -0.11,  0.02,  1.15,  0.44
29019.8, 29023.8, 29021.8,  0.13,  0.61,  0.29,  0.39,  0.03,  0.58, -0.04,  0.00,  1.53,  0.42
29024.6, 29028.6, 29026.6,  0.35,  0.66,  0.38,  1.63,  0.15,  0.97,  0.10, -0.00,  1.36,  0.79
29029.4, 29033.4, 29031.4,  0.47,  0.61,  0.33,  1.71,  0.10,  0.80, -0.05, -0.04,  1.26,  0.62
29034.2, 29038.2, 29036.2,  0.24,  0.40,  0.25,  0.91,  0.18,  0.33,  0.10,  0.03,  1.50,  0.32
29039.0, 29043.0, 29041.0,  0.24,  0.41,  0.29,  1.58,  0.14,  0.65,  0.03,  0.04,  1.58,  0.47
29043.7, 29047.7, 29045.7,  0.08,  0.31,  0.17,  1.08, -0.06,  0.42,  0.05, -0.03,  1.77,  0.40
29048.5, 29052.5, 29050.5, -0.03,  0.41,  0.15, -0.20, -0.00,  0.18, -0.12, -0.08,  1.99,  0.04
29053.3, 29057.3, 29055.3, -0.03,  0.27,  0.14,  0.43,  0.01,  0.44,  0.07, -0.02,  1.23,  0.35
29058.1, 29062.1, 29060.1, -0.07,  0.25,  0.14,  1.26,  0.00,  0.66,  0.02, -0.05,  1.21,  0.47
29062.9, 29066.9, 29064.9,  0.05,  0.17,  0.10, -0.25,  0.02,  0.02, -0.01,  0.00,  1.50,  0.09
29067.6, 29071.6, 29069.6, -0.05,  0.28,  0.08,  1.31, -0.04,  0.56, -0.06,  0.03,  1.13,  0.36
29072.4, 29076.4, 29074.4,  0.04,  0.32,  0.09,  0.72,  0.07,  0.37,  0.09,  0.02,  1.34,  0.37
29077.1, 29081.1, 29079.1,  0.03,  0.10,  0.06,  0.85,  0.04,  0.24, -0.04,  0.00,  1.09,  0.31
29081.9, 29085.9, 29083.9,  0.11,  0.22,  0.07,  0.44, -0.04,  0.09, -0.03, -0.01,  1.86,  0.12
29086.7, 29090.7, 29088.7,  0.13,  0.22,  0.05,  1.49, -0.02,  0.33,  0.12,  0.02,  1.36,  0.22
29091.5, 29095.5, 29093.5, -0.08,  0.19,  0.07,  0.03,  0.02,  0.23, -0.01,  0.01,  1.39,  0.37
29096.3, 29100.3, 29098.3, -0.07,  0.25,  0.16,  0.02,  0.05,  0.04, -0.08,  0.04,  1.98,  0.08
29101.1, 29105.1, 29103.1, -0.10,  0.24,  0.14,  0.29,  0.03,  0.39,  0.03, -0.03,  1.45,  0.43
29105.9, 29109.9, 29107.9,  0.20,  0.17,  0.13,  1.21,  0.01,  0.48,  0.02,  0.01,  1.46,  0.34
29110.6, 29114.6, 29112.6,  0.05,  0.13,  0.16,  0.25, -0.08,  0.50,  0.04, -0.05,  1.12,  0.62
29115.3, 29119.3, 29117.3,  0.07,  0.25,  0.11,  0.09, -0.04,  0.22, -0.01,  0.05,  1.47,  0.21
29120.1, 29124.1, 29122.1, -0.05,  0.35,  0.06,  0.68, -0.01,  0.28,  0.10, -0.02,  1.51,  0.20
