Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
29360.3, 29364.3, 29362.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29365.3, 29369.3, 29367.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29370.1, 29374.1, 29372.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29374.9, 29378.9, 29376.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29379.6, 29383.6, 29381.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29384.4, 29388.4, 29386.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29389.2, 29393.2, 29391.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29393.9, 29397.9, 29395.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29398.7, 29402.7, 29400.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29403.4, 29407.4, 29405.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29408.1, 29412.1, 29410.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29412.9, 29416.9, 29414.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29417.6, 29421.6, 29419.6, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29422.4, 29426.4, 29424.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29427.2, 29431.2, 29429.2, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29431.9, 29435.9, 29433.9, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29436.7, 29440.7, 29438.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29441.4, 29445.4, 29443.4, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29446.3, 29450.3, 29448.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29451.1, 29455.1, 29453.1, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29456.0, 29460.0, 29458.0, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29460.7, 29464.7, 29462.7, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29465.5, 29469.5, 29467.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
29470.3, 29474.3, 29472.3, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999
