Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28980.890, 28981.837, 28981.364, 172.61,412.54,-9999.00
28981.837, 28982.790, 28982.314, 173.43,415.42,-9999.00
28982.795, 28983.746, 28983.270, 170.04,415.38,-9999.00
28983.747, 28984.699, 28984.223, 170.40,415.03,-9999.00
28984.699, 28985.650, 28985.174, 170.18,415.22,-9999.00
28985.650, 28986.597, 28986.123, 176.04,414.89,-9999.00
28986.597, 28987.544, 28987.071, 188.40,415.39,-9999.00
28987.544, 28988.497, 28988.020, 195.48,417.18,-9999.00
28988.508, 28989.459, 28988.983, 196.01,413.54,-9999.00
28989.468, 28990.419, 28989.943, 199.36,410.07,-9999.00
28990.419, 28991.366, 28990.893, 196.97,407.78,-9999.00
28991.366, 28992.313, 28991.840, 186.40,410.33,-9999.00
28992.313, 28993.265, 28992.789, 178.33,408.38,-9999.00
28993.265, 28994.211, 28993.738, 170.42,408.86,-9999.00
28994.216, 28995.163, 28994.690, 164.80,409.72,-9999.00
28995.178, 28996.131, 28995.655, 160.86,409.78,-9999.00
28996.131, 28997.083, 28996.607, 158.34,408.54,-9999.00
28997.083, 28998.035, 28997.559, 155.63,410.03,-9999.00
28998.035, 28998.986, 28998.510, 156.88,412.03,-9999.00
28998.986, 28999.933, 28999.460, 157.11,413.34,-9999.00
28999.947, 29000.894, 29000.421, 155.08,412.58,-9999.00
29000.894, 29001.839, 29001.366, 156.64,412.72,-9999.00
29001.839, 29002.786, 29002.312, 152.88,412.24,-9999.00
29002.786, 29003.733, 29003.260, 150.16,407.73,-9999.00
29003.733, 29004.688, 29004.211, 150.79,408.23,-9999.00
29004.688, 29005.640, 29005.164, 150.65,409.84,-9999.00
29005.647, 29006.597, 29006.122, 152.12,410.09,-9999.00
29006.601, 29007.552, 29007.076, 148.57,411.05,-9999.00
29007.552, 29008.498, 29008.025, 150.81,408.09,-9999.00
29008.498, 29009.445, 29008.972, 149.85,407.54,-9999.00
29009.445, 29010.397, 29009.921, 149.81,406.50,-9999.00
29010.397, 29011.349, 29010.873, 150.37,407.53,-9999.00
29011.356, 29012.302, 29011.829, 149.91,408.02,-9999.00
29012.315, 29013.263, 29012.789, 149.35,409.48,-9999.00
29013.263, 29014.215, 29013.739, 148.41,409.66,-9999.00
29014.215, 29015.167, 29014.691, 149.26,409.68,-9999.00
29015.167, 29016.117, 29015.642, 150.09,410.56,-9999.00
29016.118, 29017.064, 29016.591, 151.78,409.85,-9999.00
29017.073, 29018.020, 29017.547, 150.71,410.42,-9999.00
29018.020, 29018.967, 29018.493, 152.38,413.48,-9999.00
29018.967, 29019.919, 29019.443, 152.16,413.33,-9999.00
29019.919, 29020.865, 29020.392, 151.62,414.32,-9999.00
29020.865, 29021.813, 29021.339, 151.04,410.78,-9999.00
29021.813, 29022.765, 29022.289, 149.57,407.75,-9999.00
29022.769, 29023.719, 29023.244, 150.33,410.73,-9999.00
29023.721, 29024.667, 29024.194, 149.90,411.38,-9999.00
29024.667, 29025.615, 29025.141, 154.64,413.90,-9999.00
29025.615, 29026.567, 29026.091, 155.34,412.47,-9999.00
29026.567, 29027.519, 29027.043, 155.87,414.52,-9999.00
29027.519, 29028.471, 29027.995, 156.48,411.07,-9999.00
29028.471, 29029.417, 29028.944, 153.00,412.16,-9999.00
29029.417, 29030.364, 29029.890, 155.00,414.08,-9999.00
29030.364, 29031.317, 29030.841, 159.32,415.50,-9999.00
29031.317, 29032.268, 29031.793, 159.48,415.89,-9999.00
29032.268, 29033.219, 29032.743, 163.12,415.60,-9999.00
29033.221, 29034.168, 29033.694, 165.83,416.25,-9999.00
29034.180, 29035.127, 29034.654, 173.17,419.87,-9999.00
29035.127, 29036.074, 29035.601, 180.30,423.97,-9999.00
29036.074, 29037.025, 29036.550, 183.75,425.02,-9999.00
29037.025, 29037.974, 29037.499, 193.85,428.27,-9999.00
29037.974, 29038.926, 29038.450, 205.71,428.59,-9999.00
29038.926, 29039.878, 29039.402, 211.34,432.09,-9999.00
29039.886, 29040.838, 29040.362, 211.92,433.82,-9999.00
29040.839, 29041.791, 29041.315, 207.96,432.45,-9999.00
29041.791, 29042.737, 29042.264, 197.10,427.58,-9999.00
29042.737, 29043.684, 29043.210, 187.64,426.42,-9999.00
29043.684, 29044.631, 29044.158, 180.02,423.74,-9999.00
29044.631, 29045.582, 29045.107, 170.14,421.89,-9999.00
29045.590, 29046.535, 29046.062, 165.30,420.21,-9999.00
29046.542, 29047.491, 29047.016, 160.88,419.11,-9999.00
29047.491, 29048.444, 29047.968, 160.30,419.46,-9999.00
29048.444, 29049.395, 29048.920, 160.38,419.11,-9999.00
29049.395, 29050.341, 29049.868, 163.09,422.65,-9999.00
29050.341, 29051.288, 29050.814, 161.18,421.08,-9999.00
29051.290, 29052.240, 29051.765, 156.42,418.95,-9999.00
29052.248, 29053.196, 29052.722, 157.88,418.06,-9999.00
29053.196, 29054.153, 29053.675, 157.70,417.10,-9999.00
29054.153, 29055.100, 29054.627, 157.16,419.14,-9999.00
29055.100, 29056.046, 29055.573, 155.45,416.87,-9999.00
29056.046, 29056.992, 29056.519, 152.34,416.56,-9999.00
29057.006, 29057.951, 29057.478, 153.81,415.28,-9999.00
29057.953, 29058.900, 29058.426, 150.75,414.41,-9999.00
29058.900, 29059.854, 29059.377, 150.32,412.14,-9999.00
29059.854, 29060.806, 29060.330, 151.55,410.78,-9999.00
29060.806, 29061.757, 29061.282, 153.60,413.86,-9999.00
29061.757, 29062.709, 29062.233, 153.22,412.28,-9999.00
29062.722, 29063.668, 29063.195, 153.06,414.56,-9999.00
29063.676, 29064.623, 29064.149, 152.55,413.07,-9999.00
29064.623, 29065.575, 29065.099, 152.45,415.48,-9999.00
29065.575, 29066.527, 29066.051, 152.57,410.70,-9999.00
29066.527, 29067.478, 29067.003, 150.59,411.95,-9999.00
29067.478, 29068.425, 29067.952, 150.57,412.46,-9999.00
29068.431, 29069.385, 29068.908, 150.40,410.41,-9999.00
29069.399, 29070.351, 29069.875, 147.98,408.70,-9999.00
29070.351, 29071.304, 29070.827, 150.38,407.09,-9999.00
29071.304, 29072.256, 29071.780, 149.10,409.41,-9999.00
29072.256, 29073.208, 29072.732, 150.68,410.52,-9999.00
29073.210, 29074.160, 29073.685, 151.00,409.87,-9999.00
