Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28913.826, 28914.772, 28914.299, 212.44,409.43,-9999.00
28914.772, 28915.719, 28915.245, 210.88,413.54,-9999.00
28915.719, 28916.672, 28916.196, 205.57,414.23,-9999.00
28916.672, 28917.624, 28917.148, 202.15,415.18,-9999.00
28917.631, 28918.582, 28918.107, 197.20,415.47,-9999.00
28918.585, 28919.531, 28919.058, 196.99,415.42,-9999.00
28919.531, 28920.479, 28920.005, 200.67,415.17,-9999.00
28920.479, 28921.431, 28920.955, 213.67,418.03,-9999.00
28921.431, 28922.382, 28921.907, 220.16,415.29,-9999.00
28922.389, 28923.334, 28922.862, 214.03,412.31,-9999.00
28923.343, 28924.290, 28923.816, 200.18,410.18,-9999.00
28924.290, 28925.237, 28924.763, 191.03,406.69,-9999.00
28925.237, 28926.182, 28925.710, 184.43,409.99,-9999.00
28926.182, 28927.128, 28926.655, 177.07,408.45,-9999.00
28927.128, 28928.076, 28927.602, 173.99,407.48,-9999.00
28928.077, 28929.029, 28928.553, 173.70,409.56,-9999.00
28929.038, 28929.989, 28929.514, 170.62,409.69,-9999.00
28929.989, 28930.935, 28930.462, 170.17,409.45,-9999.00
28930.935, 28931.882, 28931.408, 170.03,409.11,-9999.00
28931.882, 28932.835, 28932.358, 169.24,408.52,-9999.00
28932.835, 28933.787, 28933.311, 172.25,412.80,-9999.00
28933.787, 28934.738, 28934.263, 174.17,412.77,-9999.00
28934.742, 28935.688, 28935.215, 173.26,412.25,-9999.00
28935.689, 28936.637, 28936.163, 175.80,411.51,-9999.00
28936.637, 28937.589, 28937.113, 179.56,413.32,-9999.00
28937.589, 28938.541, 28938.065, 181.32,414.91,-9999.00
28938.541, 28939.487, 28939.014, 176.18,412.70,-9999.00
28939.490, 28940.435, 28939.963, 178.60,409.97,-9999.00
28940.440, 28941.387, 28940.914, 184.09,411.95,-9999.00
28941.390, 28942.342, 28941.866, 187.47,415.67,-9999.00
28942.342, 28943.287, 28942.814, 185.56,413.71,-9999.00
28943.287, 28944.234, 28943.760, 181.27,412.99,-9999.00
28944.234, 28945.181, 28944.707, 179.02,411.28,-9999.00
28945.181, 28946.133, 28945.657, 178.91,412.39,-9999.00
28946.133, 28947.078, 28946.605, 177.44,415.38,-9999.00
28947.078, 28948.026, 28947.552, 181.62,413.69,-9999.00
28948.026, 28948.972, 28948.499, 182.86,414.44,-9999.00
28948.972, 28949.923, 28949.448, 181.73,415.07,-9999.00
28949.923, 28950.869, 28950.396, 180.67,415.79,-9999.00
28950.869, 28951.817, 28951.343, 175.17,415.89,-9999.00
28951.821, 28952.773, 28952.297, -9999.00,-9999.00,-9999.00
28952.774, 28953.727, 28953.251, -9999.00,-9999.00,-9999.00
28953.727, 28954.678, 28954.203, -9999.00,-9999.00,-9999.00
28954.678, 28955.624, 28955.151, -9999.00,-9999.00,-9999.00
28955.624, 28956.568, 28956.096, -9999.00,-9999.00,-9999.00
28956.568, 28957.515, 28957.042, -9999.00,-9999.00,-9999.00
28957.518, 28958.464, 28957.991, -9999.00,-9999.00,-9999.00
28958.466, 28959.412, 28958.939, -9999.00,-9999.00,-9999.00
28959.412, 28960.358, 28959.885, -9999.00,-9999.00,-9999.00
28960.358, 28961.304, 28960.831, -9999.00,-9999.00,-9999.00
28961.304, 28962.251, 28961.777, -9999.00,-9999.00,-9999.00
28962.255, 28963.202, 28962.728, -9999.00,-9999.00,-9999.00
28963.213, 28964.158, 28963.686, -9999.00,-9999.00,-9999.00
28964.158, 28965.104, 28964.631, -9999.00,-9999.00,-9999.00
28965.104, 28966.051, 28965.577, -9999.00,-9999.00,-9999.00
28966.051, 28966.997, 28966.524, -9999.00,-9999.00,-9999.00
28966.997, 28967.943, 28967.470, -9999.00,-9999.00,-9999.00
28967.943, 28968.889, 28968.416, -9999.00,-9999.00,-9999.00
28968.902, 28969.850, 28969.376, -9999.00,-9999.00,-9999.00
28969.852, 28970.797, 28970.325, -9999.00,-9999.00,-9999.00
28970.797, 28971.743, 28971.270, -9999.00,-9999.00,-9999.00
28971.743, 28972.691, 28972.217, -9999.00,-9999.00,-9999.00
28972.691, 28973.637, 28973.164, -9999.00,-9999.00,-9999.00
28973.637, 28974.582, 28974.110, -9999.00,-9999.00,-9999.00
28974.585, 28975.532, 28975.058, -9999.00,-9999.00,-9999.00
28975.534, 28976.481, 28976.007, -9999.00,-9999.00,-9999.00
28976.481, 28977.433, 28976.957, -9999.00,-9999.00,-9999.00
28977.433, 28978.386, 28977.910, -9999.00,-9999.00,-9999.00
28978.386, 28979.337, 28978.862, -9999.00,-9999.00,-9999.00
28979.342, 28980.287, 28979.815, -9999.00,-9999.00,-9999.00
28980.298, 28981.244, 28980.771, -9999.00,-9999.00,-9999.00
28981.244, 28982.190, 28981.717, -9999.00,-9999.00,-9999.00
28982.190, 28983.137, 28982.663, -9999.00,-9999.00,-9999.00
28983.137, 28984.084, 28983.610, -9999.00,-9999.00,-9999.00
28984.084, 28985.036, 28984.560, -9999.00,-9999.00,-9999.00
28985.036, 28985.988, 28985.512, -9999.00,-9999.00,-9999.00
28986.007, 28986.953, 28986.480, -9999.00,-9999.00,-9999.00
28986.954, 28987.900, 28987.427, -9999.00,-9999.00,-9999.00
28987.900, 28988.848, 28988.374, -9999.00,-9999.00,-9999.00
28988.848, 28989.800, 28989.324, -9999.00,-9999.00,-9999.00
28989.800, 28990.751, 28990.276, -9999.00,-9999.00,-9999.00
28990.751, 28991.697, 28991.224, -9999.00,-9999.00,-9999.00
28991.716, 28992.664, 28992.190, -9999.00,-9999.00,-9999.00
28992.675, 28993.627, 28993.151, -9999.00,-9999.00,-9999.00
