Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
30091.992, 30092.939, 30092.466, 167.74,416.72,-9999.00
30092.939, 30093.885, 30093.412, 167.52,413.81,-9999.00
30093.885, 30094.831, 30094.358, 168.74,413.20,-9999.00
30094.831, 30095.777, 30095.304, 167.04,412.39,-9999.00
30095.778, 30096.724, 30096.251, 166.22,410.59,-9999.00
30096.743, 30097.689, 30097.216, 162.98,410.28,-9999.00
30097.689, 30098.636, 30098.163, 162.68,411.55,-9999.00
30098.636, 30099.583, 30099.110, 164.72,411.72,-9999.00
30099.583, 30100.529, 30100.056, 165.02,408.28,-9999.00
30100.529, 30101.475, 30101.002, 164.55,409.34,-9999.00
30101.475, 30102.422, 30101.948, 164.99,410.48,-9999.00
30102.428, 30103.374, 30102.901, 165.99,411.83,-9999.00
30103.377, 30104.324, 30103.851, 166.11,411.74,-9999.00
30104.324, 30105.271, 30104.798, 167.61,411.83,-9999.00
30105.271, 30106.217, 30105.744, 165.83,410.92,-9999.00
30106.217, 30107.162, 30106.689, 168.45,414.75,-9999.00
30107.162, 30108.109, 30107.636, 167.19,412.31,-9999.00
30108.115, 30109.060, 30108.587, 165.72,414.43,-9999.00
30109.070, 30110.016, 30109.543, 168.36,415.34,-9999.00
30110.016, 30110.962, 30110.489, 168.60,416.10,-9999.00
30110.962, 30111.909, 30111.435, 170.07,415.33,-9999.00
30111.909, 30112.855, 30112.382, 170.99,415.66,-9999.00
30112.856, 30113.802, 30113.329, 173.98,416.86,-9999.00
30113.811, 30114.757, 30114.284, 175.16,415.35,-9999.00
30114.757, 30115.704, 30115.231, 173.91,412.42,-9999.00
30115.704, 30116.649, 30116.176, 173.57,412.40,-9999.00
30116.649, 30117.595, 30117.122, 173.60,413.09,-9999.00
30117.595, 30118.542, 30118.068, 173.58,412.10,-9999.00
30118.542, 30119.488, 30119.015, 175.86,413.74,-9999.00
30119.495, 30120.441, 30119.968, 174.20,413.44,-9999.00
30120.444, 30121.390, 30120.917, 175.46,412.75,-9999.00
30121.390, 30122.337, 30121.864, 175.66,413.68,-9999.00
30122.337, 30123.282, 30122.809, 171.92,413.77,-9999.00
30123.282, 30124.229, 30123.756, 176.17,413.14,-9999.00
30124.229, 30125.175, 30124.702, 174.09,413.36,-9999.00
30125.179, 30126.125, 30125.652, 175.10,412.22,-9999.00
30126.131, 30127.077, 30126.604, 175.91,413.40,-9999.00
30127.077, 30128.024, 30127.550, 173.74,413.19,-9999.00
30128.024, 30128.970, 30128.497, 175.61,414.13,-9999.00
30128.970, 30129.916, 30129.443, 175.65,416.06,-9999.00
30129.918, 30130.864, 30130.391, 176.95,413.69,-9999.00
30130.877, 30131.824, 30131.351, 175.32,414.88,-9999.00
30131.824, 30132.770, 30132.297, 174.88,412.27,-9999.00
30132.770, 30133.716, 30133.243, 175.33,415.11,-9999.00
30133.716, 30134.662, 30134.189, 175.97,413.83,-9999.00
30134.662, 30135.609, 30135.135, 175.60,414.68,-9999.00
30135.609, 30136.554, 30136.081, 178.61,414.80,-9999.00
30136.562, 30137.508, 30137.035, 175.56,413.77,-9999.00
30137.510, 30138.457, 30137.984, 176.31,415.42,-9999.00
30138.457, 30139.403, 30138.930, 174.15,413.09,-9999.00
30139.403, 30140.349, 30139.876, 177.44,414.26,-9999.00
30140.349, 30141.295, 30140.822, 174.44,413.50,-9999.00
30141.295, 30142.242, 30141.768, 172.90,411.17,-9999.00
30142.248, 30143.194, 30142.721, 175.74,413.66,-9999.00
30143.203, 30144.149, 30143.676, 174.18,411.84,-9999.00
30144.149, 30145.096, 30144.623, 173.52,413.48,-9999.00
30145.096, 30146.041, 30145.568, 176.24,414.20,-9999.00
30146.041, 30146.987, 30146.514, 174.49,411.51,-9999.00
30146.990, 30147.937, 30147.464, 176.10,411.27,-9999.00
30147.954, 30148.900, 30148.427, 175.92,414.05,-9999.00
30148.900, 30149.846, 30149.373, 175.68,411.64,-9999.00
30149.846, 30150.792, 30150.319, 174.11,409.79,-9999.00
30150.792, 30151.739, 30151.265, 174.51,411.56,-9999.00
30151.739, 30152.685, 30152.212, 173.09,411.08,-9999.00
30152.685, 30153.631, 30153.158, 172.43,412.14,-9999.00
30153.643, 30154.588, 30154.116, 172.21,410.17,-9999.00
30154.592, 30155.539, 30155.065, 172.40,408.83,-9999.00
30155.539, 30156.484, 30156.012, 174.75,412.84,-9999.00
30156.484, 30157.430, 30156.957, 174.82,413.13,-9999.00
30157.430, 30158.381, 30157.905, 173.88,415.16,-9999.00
30158.381, 30159.330, 30158.855, 174.96,412.55,-9999.00
30159.339, 30160.285, 30159.812, 174.24,413.37,-9999.00
30160.296, 30161.241, 30160.768, 176.73,414.94,-9999.00
30161.241, 30162.187, 30161.714, 174.25,413.52,-9999.00
30162.187, 30163.137, 30162.662, 175.69,414.15,-9999.00
30163.137, 30164.085, 30163.611, 174.06,413.12,-9999.00
30164.087, 30165.033, 30164.560, 174.49,412.24,-9999.00
30165.041, 30165.988, 30165.514, 173.41,409.68,-9999.00
30165.988, 30166.934, 30166.461, 173.04,413.17,-9999.00
30166.934, 30167.880, 30167.407, 176.43,413.24,-9999.00
30167.880, 30168.826, 30168.353, 172.33,412.59,-9999.00
30168.826, 30169.772, 30169.299, 173.58,412.53,-9999.00
30169.772, 30170.719, 30170.246, 173.34,413.91,-9999.00
30170.732, 30171.677, 30171.204, 175.51,415.00,-9999.00
30171.680, 30172.626, 30172.153, 176.16,415.14,-9999.00
30172.626, 30173.572, 30173.099, 175.12,411.92,-9999.00
30173.572, 30174.518, 30174.045, 173.88,413.75,-9999.00
30174.518, 30175.465, 30174.991, 176.78,409.88,-9999.00
30175.465, 30176.411, 30175.938, 175.49,412.99,-9999.00
30176.416, 30177.363, 30176.890, 177.46,416.42,-9999.00
30177.368, 30178.314, 30177.841, 172.72,416.58,-9999.00
30178.314, 30179.261, 30178.787, 171.41,412.82,-9999.00
30179.261, 30180.205, 30179.733, 170.52,412.70,-9999.00
30180.205, 30181.152, 30180.678, 171.80,415.44,-9999.00
30181.155, 30182.101, 30181.628, 169.89,416.41,-9999.00
30182.113, 30183.059, 30182.586, 172.71,417.13,-9999.00
30183.059, 30184.005, 30183.532, 169.58,417.21,-9999.00
30184.005, 30184.952, 30184.479, 172.65,418.79,-9999.00
30184.952, 30185.898, 30185.425, 171.03,418.67,-9999.00
30185.898, 30186.844, 30186.371, 169.77,419.14,-9999.00
30186.844, 30187.790, 30187.317, 172.55,419.99,-9999.00
30187.798, 30188.744, 30188.271, 171.57,418.54,-9999.00
30188.746, 30189.693, 30189.220, 170.28,417.02,-9999.00
30189.693, 30190.639, 30190.166, 171.02,416.66,-9999.00
30190.639, 30191.586, 30191.113, 169.80,414.92,-9999.00
30191.586, 30192.531, 30192.058, 170.79,415.87,-9999.00
30192.543, 30193.489, 30193.016, 170.82,416.87,-9999.00
30193.497, 30194.444, 30193.970, 169.69,418.34,-9999.00
30194.444, 30195.391, 30194.917, 170.53,417.70,-9999.00
30195.391, 30196.337, 30195.864, 169.92,415.32,-9999.00
30196.337, 30197.283, 30196.810, 169.09,415.23,-9999.00
30197.283, 30198.229, 30197.756, 169.54,415.73,-9999.00
