Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28873.505, 28874.452, 28873.979, -9999.00,-9999.00,-9999.00
28874.452, 28875.404, 28874.928, -9999.00,-9999.00,-9999.00
28875.404, 28876.350, 28875.877, -9999.00,-9999.00,-9999.00
28876.350, 28877.297, 28876.823, -9999.00,-9999.00,-9999.00
28877.300, 28878.247, 28877.773, -9999.00,-9999.00,-9999.00
28878.263, 28879.215, 28878.739, -9999.00,-9999.00,-9999.00
28879.215, 28880.161, 28879.688, -9999.00,-9999.00,-9999.00
28880.161, 28881.108, 28880.634, -9999.00,-9999.00,-9999.00
28881.108, 28882.054, 28881.581, -9999.00,-9999.00,-9999.00
28882.054, 28883.006, 28882.530, -9999.00,-9999.00,-9999.00
28883.024, 28883.968, 28883.496, -9999.00,-9999.00,-9999.00
28883.971, 28884.919, 28884.445, -9999.00,-9999.00,-9999.00
28884.919, 28885.865, 28885.392, -9999.00,-9999.00,-9999.00
28885.865, 28886.817, 28886.341, -9999.00,-9999.00,-9999.00
28886.817, 28887.762, 28887.290, -9999.00,-9999.00,-9999.00
28887.762, 28888.710, 28888.236, -9999.00,-9999.00,-9999.00
28888.718, 28889.664, 28889.191, -9999.00,-9999.00,-9999.00
28889.671, 28890.622, 28890.146, -9999.00,-9999.00,-9999.00
28890.622, 28891.568, 28891.095, -9999.00,-9999.00,-9999.00
28891.568, 28892.516, 28892.042, -9999.00,-9999.00,-9999.00
28892.516, 28893.468, 28892.992, -9999.00,-9999.00,-9999.00
28893.468, 28894.420, 28893.944, -9999.00,-9999.00,-9999.00
28894.424, 28895.368, 28894.896, -9999.00,-9999.00,-9999.00
28895.380, 28896.327, 28895.853, -9999.00,-9999.00,-9999.00
28896.327, 28897.274, 28896.801, -9999.00,-9999.00,-9999.00
28897.274, 28898.226, 28897.750, -9999.00,-9999.00,-9999.00
28898.226, 28899.171, 28898.699, -9999.00,-9999.00,-9999.00
28899.171, 28900.118, 28899.644, -9999.00,-9999.00,-9999.00
28900.136, 28901.084, 28900.610, -9999.00,-9999.00,-9999.00
28901.085, 28902.037, 28901.561, -9999.00,-9999.00,-9999.00
28902.037, 28902.982, 28902.510, -9999.00,-9999.00,-9999.00
28902.982, 28903.929, 28903.455, -9999.00,-9999.00,-9999.00
28903.929, 28904.876, 28904.403, -9999.00,-9999.00,-9999.00
28904.876, 28905.827, 28905.352, -9999.00,-9999.00,-9999.00
28905.837, 28906.782, 28906.309, -9999.00,-9999.00,-9999.00
28906.788, 28907.735, 28907.261, -9999.00,-9999.00,-9999.00
28907.735, 28908.688, 28908.212, -9999.00,-9999.00,-9999.00
28908.688, 28909.639, 28909.164, -9999.00,-9999.00,-9999.00
28909.639, 28910.585, 28910.112, -9999.00,-9999.00,-9999.00
28910.585, 28911.532, 28911.058, -9999.00,-9999.00,-9999.00
28911.536, 28912.484, 28912.010, -9999.00,-9999.00,-9999.00
28912.494, 28913.446, 28912.970, -9999.00,-9999.00,-9999.00
28913.446, 28914.398, 28913.922, -9999.00,-9999.00,-9999.00
28914.398, 28915.344, 28914.871, -9999.00,-9999.00,-9999.00
28915.344, 28916.291, 28915.817, -9999.00,-9999.00,-9999.00
28916.291, 28917.243, 28916.767, -9999.00,-9999.00,-9999.00
28917.243, 28918.195, 28917.719, -9999.00,-9999.00,-9999.00
28918.209, 28919.155, 28918.682, -9999.00,-9999.00,-9999.00
28919.156, 28920.102, 28919.629, -9999.00,-9999.00,-9999.00
28920.102, 28921.049, 28920.576, -9999.00,-9999.00,-9999.00
28921.049, 28922.001, 28921.525, -9999.00,-9999.00,-9999.00
28922.001, 28922.946, 28922.473, -9999.00,-9999.00,-9999.00
28922.952, 28923.900, 28923.426, -9999.00,-9999.00,-9999.00
28923.903, 28924.850, 28924.377, -9999.00,-9999.00,-9999.00
28924.850, 28925.802, 28925.326, -9999.00,-9999.00,-9999.00
28925.802, 28926.747, 28926.275, -9999.00,-9999.00,-9999.00
28926.747, 28927.695, 28927.221, -9999.00,-9999.00,-9999.00
28927.695, 28928.647, 28928.171, -9999.00,-9999.00,-9999.00
28928.655, 28929.607, 28929.131, -9999.00,-9999.00,-9999.00
28929.619, 28930.571, 28930.095, -9999.00,-9999.00,-9999.00
28930.571, 28931.517, 28931.044, -9999.00,-9999.00,-9999.00
28931.517, 28932.464, 28931.990, -9999.00,-9999.00,-9999.00
28932.464, 28933.417, 28932.941, -9999.00,-9999.00,-9999.00
28933.417, 28934.368, 28933.893, -9999.00,-9999.00,-9999.00
