Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28564.168, 28565.113, 28564.640, 318.56,413.26,25737.25
28565.110, 28566.056, 28565.583, 334.84,414.45,25639.28
28566.044, 28566.991, 28566.518, 349.19,415.15,25693.82
28566.991, 28567.937, 28567.464, 341.22,408.09,25309.01
28567.937, 28568.882, 28568.410, 330.55,410.48,25342.26
28568.882, 28569.829, 28569.355, 311.96,414.74,25678.89
28569.829, 28570.776, 28570.303, 284.60,413.49,25668.15
28570.776, 28571.728, 28571.252, 267.29,413.47,25745.05
28571.745, 28572.689, 28572.217, 256.26,411.89,25692.05
28572.693, 28573.640, 28573.166, 256.53,410.88,25626.19
28573.640, 28574.587, 28574.114, 255.60,408.72,25510.48
28574.587, 28575.538, 28575.062, 260.13,407.87,25448.15
28575.538, 28576.484, 28576.011, 257.35,407.23,25379.82
28576.484, 28577.431, 28576.957, 259.98,409.67,25572.56
28577.439, 28578.386, 28577.912, 247.17,408.07,25514.94
28578.393, 28579.338, 28578.866, 240.34,410.56,25676.48
28579.338, 28580.284, 28579.811, 229.92,409.49,25617.66
28580.284, 28581.231, 28580.758, 229.06,408.30,25513.83
28581.231, 28582.183, 28581.707, 234.02,408.66,25598.11
28582.185, 28583.129, 28582.657, 243.81,408.50,25576.46
28583.133, 28584.079, 28583.606, 255.60,410.36,25598.86
28584.079, 28585.026, 28584.553, 270.85,414.05,25729.67
28585.026, 28585.972, 28585.499, 286.17,414.70,25680.75
28585.972, 28586.918, 28586.445, 306.52,412.82,25592.15
28586.918, 28587.864, 28587.391, 314.01,415.15,25624.49
28587.864, 28588.812, 28588.338, 311.05,416.06,25741.57
28588.821, 28589.765, 28589.293, 305.01,419.82,26042.12
28589.767, 28590.713, 28590.240, 283.50,411.31,25445.06
28590.713, 28591.661, 28591.187, 268.65,410.58,25442.40
28591.661, 28592.619, 28592.140, 267.20,413.32,25587.96
28592.619, 28593.578, 28593.099, 267.38,417.53,25874.27
