Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28604.243, 28605.189, 28604.716, 206.04,408.75,-9999.00
28605.189, 28606.136, 28605.662, 204.50,406.56,-9999.00
28606.135, 28607.081, 28606.608, 203.56,410.83,-9999.00
28607.077, 28608.022, 28607.550, 199.80,410.48,-9999.00
28608.022, 28608.969, 28608.495, 195.53,408.11,-9999.00
28608.969, 28609.915, 28609.442, 195.08,406.23,-9999.00
28609.915, 28610.861, 28610.388, 197.07,411.68,-9999.00
28610.861, 28611.807, 28611.334, 195.83,407.83,-9999.00
28611.807, 28612.753, 28612.280, 198.26,404.21,-9999.00
28612.778, 28613.726, 28613.252, 203.51,405.22,-9999.00
28613.731, 28614.677, 28614.204, 206.25,406.73,-9999.00
28614.677, 28615.623, 28615.150, 208.71,402.54,-9999.00
28615.623, 28616.570, 28616.097, 208.78,400.82,-9999.00
28616.570, 28617.515, 28617.042, 207.38,401.93,-9999.00
28617.515, 28618.462, 28617.988, 207.16,403.54,-9999.00
28618.464, 28619.411, 28618.938, 207.43,405.83,-9999.00
28619.413, 28620.360, 28619.887, 208.47,408.55,-9999.00
28620.360, 28621.305, 28620.833, 207.78,404.61,-9999.00
28621.305, 28622.251, 28621.778, 208.29,405.59,-9999.00
28622.251, 28623.198, 28622.725, 207.76,404.73,-9999.00
28623.201, 28624.146, 28623.673, 211.80,409.15,-9999.00
28624.154, 28625.100, 28624.627, 208.18,406.86,-9999.00
28625.100, 28626.046, 28625.573, 207.16,407.69,-9999.00
28626.046, 28626.991, 28626.519, 203.96,405.56,-9999.00
28626.991, 28627.937, 28627.464, 205.07,403.94,-9999.00
28627.937, 28628.885, 28628.411, 202.71,400.40,-9999.00
28628.885, 28629.832, 28629.359, 204.69,402.77,-9999.00
28629.837, 28630.781, 28630.309, 202.99,402.69,-9999.00
28630.782, 28631.728, 28631.255, 201.27,401.83,-9999.00
28631.728, 28632.675, 28632.202, 200.91,404.80,-9999.00
28632.675, 28633.620, 28633.147, 200.39,407.92,-9999.00
28633.620, 28634.566, 28634.093, 197.72,407.19,-9999.00
28634.566, 28635.512, 28635.039, 194.63,409.49,-9999.00
28635.517, 28636.464, 28635.991, 193.35,405.16,-9999.00
28636.468, 28637.414, 28636.941, 192.75,408.30,-9999.00
28637.414, 28638.361, 28637.887, 192.52,407.87,-9999.00
28638.361, 28639.307, 28638.834, 192.34,405.62,-9999.00
28639.307, 28640.253, 28639.780, 188.52,402.29,-9999.00
28640.254, 28641.200, 28640.727, 189.40,404.00,-9999.00
28641.204, 28642.150, 28641.677, 188.56,406.11,-9999.00
28642.150, 28643.097, 28642.624, 188.29,407.20,-9999.00
28643.097, 28644.043, 28643.570, 187.93,407.44,-9999.00
28644.043, 28644.993, 28644.518, 184.05,407.78,-9999.00
28644.993, 28645.941, 28645.467, 182.95,407.72,-9999.00
28645.941, 28646.888, 28646.415, 181.23,407.58,-9999.00
28646.897, 28647.843, 28647.370, 181.03,408.56,-9999.00
28647.844, 28648.790, 28648.317, 179.58,404.10,-9999.00
28648.790, 28649.738, 28649.264, 176.23,405.38,-9999.00
28649.738, 28650.683, 28650.210, 177.91,403.01,-9999.00
28650.683, 28651.630, 28651.156, 179.71,406.08,-9999.00
28651.630, 28652.576, 28652.103, 178.62,408.23,-9999.00
28652.576, 28653.523, 28653.050, 183.75,408.75,-9999.00
28653.523, 28654.468, 28653.996, 182.42,406.70,-9999.00
28654.468, 28655.413, 28654.940, 177.93,406.21,-9999.00
28655.413, 28656.361, 28655.887, 178.03,405.77,-9999.00
28656.361, 28657.307, 28656.834, 177.29,404.62,-9999.00
28657.310, 28658.256, 28657.783, 177.83,408.24,-9999.00
28658.263, 28659.209, 28658.736, 180.68,408.40,-9999.00
28659.209, 28660.154, 28659.681, 181.00,407.99,-9999.00
28660.154, 28661.100, 28660.627, 179.47,407.96,-9999.00
28661.100, 28662.047, 28661.573, 180.99,408.54,-9999.00
28662.047, 28662.994, 28662.521, 182.18,404.48,-9999.00
28662.994, 28663.940, 28663.467, 182.60,407.75,-9999.00
28663.949, 28664.895, 28664.422, 185.56,408.63,-9999.00
28664.896, 28665.843, 28665.370, 183.07,408.21,-9999.00
28665.843, 28666.789, 28666.316, 180.71,405.26,-9999.00
28666.789, 28667.734, 28667.261, 180.43,405.09,-9999.00
28667.734, 28668.681, 28668.208, 177.06,404.99,-9999.00
28668.681, 28669.626, 28669.154, 178.94,406.00,-9999.00
28669.629, 28670.575, 28670.102, 176.47,408.01,-9999.00
28670.577, 28671.524, 28671.050, 174.83,404.81,-9999.00
28671.524, 28672.471, 28671.998, 176.36,406.99,-9999.00
28672.471, 28673.416, 28672.943, 177.20,405.04,-9999.00
28673.416, 28674.362, 28673.889, 176.84,403.58,-9999.00
28674.365, 28675.312, 28674.838, 178.07,403.93,-9999.00
28675.318, 28676.264, 28675.791, 179.93,405.92,-9999.00
28676.264, 28677.212, 28676.738, 180.73,407.70,-9999.00
28677.212, 28678.157, 28677.684, 183.33,410.44,-9999.00
28678.157, 28679.103, 28678.630, 179.61,408.09,-9999.00
28679.103, 28680.049, 28679.576, 178.57,405.73,-9999.00
28680.049, 28680.995, 28680.522, 178.98,410.39,-9999.00
28681.019, 28681.966, 28681.493, 177.94,406.23,-9999.00
28681.967, 28682.913, 28682.440, 179.37,406.09,-9999.00
28682.913, 28683.859, 28683.386, 176.37,405.37,-9999.00
28683.859, 28684.805, 28684.332, 176.57,404.56,-9999.00
28684.805, 28685.751, 28685.278, 180.27,406.40,-9999.00
28685.751, 28686.698, 28686.225, 179.55,408.21,-9999.00
28686.710, 28687.658, 28687.184, 179.61,406.77,-9999.00
28687.665, 28688.611, 28688.138, 175.69,404.60,-9999.00
