Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
40108.0,-14.7237554,5.0,4870.1,0.018000000000000002,69.75,40109.0,,,,0.0
40109.0,-14.7251068,5.0,4869.5,0.018000000000000002,70.84,40110.0,,,0.01,0.0
40110.0,-14.726476500000002,5.0,4871.3,0.018000000000000002,69.31,40111.0,,,,0.0
40111.0,-14.727847599999999,5.0,4870.2,0.017,70.35,40112.0,,,,0.0
40112.0,-14.7292041,5.0,4871.4,0.018000000000000002,69.52,40113.0,,,,0.0
40113.0,-14.731378,5.0,4871.2,0.018000000000000002,67.93,40114.0,,,,0.0
40114.0,-14.733329000000001,5.0,4871.7,0.018000000000000002,67.99,40114.0,,,-0.05,0.0
40115.0,-14.734689600000001,5.0,4872.3,0.018000000000000002,70.15,40115.0,,,,0.0
40116.0,-14.7360607,5.0,4870.5,0.018000000000000002,68.85,40116.0,,,,0.0
40117.0,-14.737426999999999,5.0,4869.4,0.019,69.29,40117.0,,,,0.0
40118.0,-14.738781,5.0,4869.4,0.019,69.83,40118.0,,,,0.0
40119.0,-14.7401514,5.0,4871.0,0.019,67.87,40119.0,,,-0.05,0.0
40120.0,-14.7415027,5.0,4870.7,0.018000000000000002,68.78,40120.0,,,,0.0
40121.0,-14.7430032,5.0,4871.0,0.018000000000000002,68.67,40121.0,,,,0.0
40137.0,-14.7672607,5.0000253,4868.4,5.602,69.53,40137.0,0.0,,,0.0
40138.0,-14.768692999999999,5.0,4868.6,5.602,70.21,40138.0,0.0,,-0.08,0.0
40139.0,-14.769724599999998,5.0,4867.8,0.302,68.52,40139.0,0.0,,,0.0
40140.0,-14.771038,5.0,4869.3,0.02,68.89,40140.0,0.0,,,0.0
40141.0,-14.7723946,5.0,4867.8,0.019,70.065,40141.0,0.0,,,0.0
40142.0,-14.7746166,5.0000572,4870.1,0.019,69.16,40143.0,33.0,,,0.0
40143.0,-14.7766196,5.0001,4872.1,0.019,68.85,40144.0,57.0,,-0.12,0.0
40144.0,-14.77798,5.0000613,4870.7,0.018000000000000002,69.84,40145.0,88.0,,,0.0
40145.0,-14.779321,5.0,4869.1,0.018000000000000002,68.79,40146.0,63.0,,,0.0
40146.0,-14.780617600000001,5.0000212,4869.5,0.018000000000000002,70.02,40147.0,68.0,,,0.0
40147.0,-14.781971400000002,5.0000886,4871.4,0.019,70.29,40148.0,79.0,,,0.0
40148.0,-14.7833419,5.0,4869.8,0.018000000000000002,69.51,40149.0,95.0,,0.07,0.0
40149.0,-14.7846945,5.0,4870.9,0.019,67.7,40150.0,,,,0.0
40150.0,-14.786063,5.0,4869.5,0.019,69.18,40151.0,,,,0.0
40151.0,-14.7874339,5.0,4868.3,0.018000000000000002,69.84,40151.0,,,,0.0
40152.0,-14.7887914,5.0,4868.8,0.018000000000000002,69.7,40152.0,,,-0.13,0.0
40153.0,-14.7910112,5.0,4868.8,0.018000000000000002,71.29,40153.0,,,,0.0
