Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,CDP_LWC
40069.0,-12.4269146,4.9999,5484.9,0.013000000000000001,79.6,40069.0,,,0.0
40070.0,-12.4293289,4.9999,5484.9,0.012,78.51,40071.0,,,0.0
40071.0,-12.4307,4.9999,5485.5,0.013000000000000001,77.55,40072.0,,,0.0
40072.0,-12.431980900000001,4.9999,5483.5,0.013000000000000001,79.69,40073.0,,,0.0
40073.0,-12.433244,4.9999,5486.8,0.013000000000000001,79.03,40074.0,,,0.0
40074.0,-12.4345209,4.9999,5486.7,0.013000000000000001,77.74,40075.0,,,0.0
40075.0,-12.4357879,4.9999,5484.9,0.013000000000000001,80.43,40076.0,,,0.0
40076.0,-12.4371144,4.9999,5485.0,0.013000000000000001,77.26,40077.0,,,0.0
40077.0,-12.438440400000001,4.9999,5486.2,0.013000000000000001,79.0,40078.0,,,0.0
40078.0,-12.4397133,4.9999,5486.1,0.013000000000000001,80.52,40078.0,,,0.0
40079.0,-12.4409804,4.9999,5485.2,0.013000000000000001,80.09,40079.0,,,0.0
40080.0,-12.442533000000001,4.9999,5485.3,0.013000000000000001,78.2,40080.0,,,0.0
40081.0,-12.445020300000001,4.9999,5486.0,0.013000000000000001,80.14,40081.0,,,0.0
40082.0,-12.4463,4.9999,5487.9,0.013000000000000001,79.69,40082.0,,,0.0
40083.0,-12.4475624,4.9999,5483.2,0.013000000000000001,81.59,40083.0,,,0.0
40084.0,-12.4488402,4.9999,5484.7,0.013000000000000001,80.36,40084.0,,,0.0
40085.0,-12.4501061,4.9999,5485.2,0.013000000000000001,80.51,40085.0,,,0.0
40086.0,-12.451443300000001,4.9999,5485.9,0.013000000000000001,80.16,40086.0,,,0.0
40087.0,-12.452760099999999,4.9999,5484.3,0.013000000000000001,79.525,40087.0,,,0.0
40088.0,-12.4540404,4.9999,5483.6,0.013000000000000001,81.23,40089.0,,,0.0
40089.0,-12.4553133,4.9999,5485.0,0.013000000000000001,79.78,40090.0,,,0.0
40090.0,-12.4565804,4.9999,5485.3,0.013000000000000001,82.61,40091.0,,,0.0
40091.0,-12.458133,4.9999,5485.0,0.013000000000000001,80.5,40092.0,,,0.0
40092.0,-12.4606203,4.9999,5483.1,0.013000000000000001,76.54,40093.0,,,0.0
40093.0,-12.4619,4.9999,5483.4,0.013000000000000001,80.35,40094.0,,,0.0
40094.0,-12.463162400000002,4.9999,5486.7,0.013000000000000001,77.9,40095.0,,,0.0
40095.0,-12.464440199999999,4.9999,5483.0,0.012,78.44,40096.0,,,0.0
40096.0,-12.4657209,4.9999,5484.6,0.013000000000000001,80.47,40096.0,,,0.0
40097.0,-12.4670514,4.9999,5483.7,0.013000000000000001,80.73,40097.0,,,0.0
40098.0,-12.4683601,4.9999,5484.9,0.013000000000000001,79.69,40098.0,,,0.0
40099.0,-12.469631199999998,4.9999,5484.8,0.013000000000000001,78.95,40099.0,,,0.0
40100.0,-12.4709004,4.9999,5482.2,0.013000000000000001,80.25,40100.0,,,0.0
40101.0,-12.472180400000001,4.9999,5482.3,0.013000000000000001,79.41,40101.0,,,0.0
40102.0,-12.473733,4.9999,5483.6,0.013000000000000001,81.68,40102.0,,,0.0
40103.0,-12.476220300000001,4.9999,5483.4,0.013000000000000001,78.02,40103.0,,,0.0
40104.0,-12.4775,4.9999,5484.3,0.013000000000000001,79.37,40104.0,,,0.0
40105.0,-12.4787809,4.9999,5482.3,0.013000000000000001,78.29,40106.0,,,0.0
40106.0,-12.480044,4.9999,5482.6,0.013000000000000001,76.98,40107.0,,,0.0
40107.0,-12.481393800000001,4.9999,5483.9,0.013000000000000001,80.13,40108.0,,,0.0
40108.0,-12.4826879,4.9999,5483.9,0.013000000000000001,75.13,40109.0,,,0.0
40109.0,-12.4839601,4.9999,5483.2,0.013000000000000001,79.7,40110.0,,,0.0
40110.0,-12.4852404,4.9999,5482.0,0.013000000000000001,78.71,40111.0,,,0.0
40111.0,-12.4865133,4.9999,5482.4,0.013000000000000001,78.56,40112.0,,,0.0
40112.0,-12.4878076,4.9999,5484.2,0.013999999999999999,78.27,40113.0,,,0.0
40113.0,-12.4894146,4.9999,5483.5,0.013000000000000001,77.49,40113.0,,,0.0
40114.0,-12.4918203,4.9999,5483.9,0.013000000000000001,77.63,40114.0,,,0.0
40115.0,-12.4931,4.9999,5483.4,0.013000000000000001,79.99,40115.0,,,0.0
40116.0,-12.494380900000001,4.9999,5486.1,0.013000000000000001,80.06,40116.0,,,0.0
40117.0,-12.4957257,4.9999,5483.4,0.013000000000000001,77.7,40117.0,,,0.0
40118.0,-12.4970209,4.9999,5483.4,0.013000000000000001,77.81,40118.0,,,0.0
40119.0,-12.4982879,4.9999,5482.3,0.012,79.31,40119.0,,,0.0
40120.0,-12.4995601,4.9999,5483.3,0.013000000000000001,77.16,40120.0,,,0.0
