,Date,FT_OA/dCO,FT_OA/dCO.STD,BL_OA/dCO,BL_OA/dCO.STD
0,13/08,159.50257723251903,4.873563717615573,135.28020057022795,15.337032722760027
1,15/08,109.61195501532968,3.085477222324688,85.37754713226474,7.319432880345391
2,26/08,69.9023239650622,2.822796741756732,22.079939401664053,2.271365173555888
