,Area,FT_OA/dCO,FT_OA/dCO.STD,BL_OA/dCO,BL_OA/dCO.STD
0,15S - 7S,142.42867719584154,3.155346210095977,,
1,7S - 2S,99.45436098374063,5.001329304253696,22.01281361727958,2.2807885238301506
2,2S - 1N,129.14524573676061,4.571007697983917,,
