,Area,FT_BC/dCO,FT_BC/dCO.STD,BL_BC/dCO,BL_BC/dCO.STD
0,15S - 7S,13.665658040599585,0.0966931212467217,6.709845313255999,1.55434593299409
1,7S - 2S,14.592975506920666,0.06941019197657458,,
2,2S - 1N,16.937387547717215,0.09379258422619786,7.605941931787357,1.4218087471874978
