UTC_mid, Number_Concentration_STP,Number_Concentration,Supersaturation
28800.0, 33, 18, 0.22
28801.0, 35, 19, 0.22
28802.0, 33, 18, 0.22
28803.0, 22, 12, 0.22
28804.0, 28, 15, 0.22
28805.0, 42, 23, 0.22
28806.0, 44, 24, 0.22
28807.0, 39, 22, 0.22
28808.0, 35, 19, 0.22
28809.0, 51, 28, 0.22
28810.0, 38, 21, 0.22
28811.0, 49, 27, 0.22
28812.0, 30, 17, 0.22
28813.0, 46, 26, 0.22
28814.0, 35, 20, 0.22
28815.0, 48, 26, 0.22
28816.0, 48, 26, 0.22
28817.0, 54, 30, 0.22
28818.0, 33, 18, 0.22
28819.0, 25, 14, 0.22
28820.0, 39, 21, 0.22
28821.0, 36, 20, 0.22
28822.0, 28, 15, 0.22
28823.0, 35, 19, 0.22
28824.0, 32, 18, 0.22
28825.0, 53, 29, 0.22
28826.0, 43, 23, 0.22
28827.0, 23, 12, 0.22
28828.0, 32, 18, 0.22
28829.0, 38, 21, 0.22
28830.0, 35, 20, 0.22
28831.0, 35, 19, 0.22
28832.0, 28, 15, 0.22
28833.0, 40, 22, 0.22
28834.0, 30, 17, 0.22
28835.0, 63, 35, 0.22
28836.0, 40, 22, 0.22
28837.0, 38, 21, 0.22
28838.0, 47, 26, 0.22
28839.0, 31, 17, 0.22
28840.0, 45, 25, 0.22
28841.0, 43, 24, 0.22
28842.0, 40, 22, 0.22
28843.0, 48, 26, 0.22
28844.0, 60, 33, 0.22
28845.0, 33, 18, 0.22
28846.0, 38, 21, 0.22
28847.0, 47, 26, 0.22
28848.0, 27, 15, 0.22
28849.0, 18, 10, 0.22
28850.0, 40, 22, 0.22
28851.0, 43, 24, 0.22
28852.0, 20, 11, 0.22
28853.0, 41, 22, 0.22
28854.0, 41, 22, 0.22
28855.0, 38, 21, 0.22
28856.0, 40, 22, 0.22
28857.0, 20, 11, 0.22
28858.0, 32, 17, 0.22
28859.0, 39, 21, 0.22
28860.0, 33, 18, 0.22
28861.0, 22, 12, 0.22
28862.0, 28, 15, 0.22
28863.0, 39, 22, 0.22
28864.0, 36, 20, 0.22
28865.0, 55, 30, 0.22
28866.0, 48, 26, 0.22
28867.0, 40, 22, 0.22
28868.0, 44, 24, 0.22
28869.0, 51, 28, 0.22
28870.0, 38, 21, 0.22
28871.0, 23, 13, 0.22
28872.0, 23, 12, 0.22
28873.0, 40, 22, 0.22
28874.0, 30, 16, 0.22
28875.0, 28, 16, 0.22
28876.0, 24, 13, 0.22
28877.0, 26, 14, 0.22
28878.0, 27, 15, 0.22
28879.0, 20, 11, 0.22
28880.0, 40, 22, 0.22
28881.0, 29, 16, 0.22
28882.0, 45, 25, 0.22
28883.0, 49, 27, 0.22
28884.0, 58, 32, 0.22
28885.0, 45, 25, 0.22
28886.0, 35, 20, 0.22
28887.0, 37, 20, 0.22
28888.0, 52, 29, 0.22
28889.0, 37, 20, 0.22
28890.0, 46, 25, 0.22
28891.0, 28, 15, 0.22
28892.0, 23, 13, 0.22
28893.0, 36, 20, 0.22
28894.0, 52, 29, 0.22
28895.0, 22, 12, 0.22
28896.0, 56, 31, 0.22
28897.0, 38, 21, 0.22
28898.0, 54, 30, 0.22
28899.0, 35, 19, 0.22
28900.0, 36, 20, 0.22
28901.0, 51, 28, 0.22
28902.0, 54, 30, 0.22
28903.0, 48, 26, 0.22
28904.0, 53, 29, 0.22
28905.0, 23, 13, 0.22
28906.0, 33, 18, 0.22
28907.0, 38, 21, 0.22
28908.0, 42, 23, 0.22
28909.0, 46, 25, 0.22
28910.0, 30, 17, 0.22
28911.0, 63, 35, 0.22
28912.0, 45, 25, 0.22
28913.0, 42, 23, 0.22
28914.0, 30, 17, 0.22
28915.0, 51, 28, 0.22
28916.0, 29, 16, 0.22
28917.0, 45, 25, 0.22
28918.0, 42, 23, 0.22
28919.0, 20, 11, 0.22
28920.0, 32, 18, 0.22
28921.0, 47, 26, 0.22
28922.0, 23, 13, 0.22
28923.0, 20, 11, 0.22
28924.0, 39, 22, 0.22
28925.0, 25, 14, 0.22
28926.0, 41, 22, 0.22
28927.0, 31, 17, 0.22
28928.0, 25, 14, 0.22
28929.0, 30, 17, 0.22
28930.0, 18, 10, 0.22
28931.0, 20, 11, 0.22
28932.0, 38, 21, 0.22
28933.0, 44, 24, 0.22
28934.0, 33, 18, 0.22
28935.0, 36, 20, 0.22
28936.0, 30, 16, 0.22
28937.0, 33, 18, 0.22
28938.0, 23, 12, 0.22
28939.0, 40, 22, 0.22
28940.0, 35, 19, 0.22
28941.0, 39, 21, 0.22
28942.0, 28, 15, 0.22
28943.0, 37, 20, 0.22
28944.0, 131, 72, 0.22
28945.0, -8888, -8888, 0.22
28946.0, -8888, -8888, 0.22
28947.0, -8888, -8888, 0.22
28948.0, 13, 7, 0.22
28949.0, 275, 152, 0.22
28950.0, 301, 166, 0.22
28951.0, 311, 172, 0.22
28952.0, 277, 153, 0.22
28953.0, 314, 173, 0.22
28954.0, 270, 149, 0.22
28955.0, 382, 211, 0.22
28956.0, 294, 162, 0.22
28957.0, 307, 169, 0.22
28958.0, 320, 177, 0.22
28959.0, 297, 164, 0.22
28960.0, 314, 173, 0.22
28961.0, 318, 175, 0.22
28962.0, 297, 164, 0.22
28963.0, 104, 57, 0.22
28964.0, 124, 68, 0.22
28965.0, 100, 55, 0.22
28966.0, 93, 52, 0.22
28967.0, 99, 55, 0.22
28968.0, 106, 59, 0.22
28969.0, 114, 63, 0.22
28970.0, 86, 47, 0.22
28971.0, 104, 57, 0.22
28972.0, 86, 48, 0.22
28973.0, 95, 52, 0.22
28974.0, 75, 42, 0.22
28975.0, 102, 56, 0.22
28976.0, 102, 56, 0.22
28977.0, 92, 51, 0.22
28978.0, 81, 45, 0.22
28979.0, 67, 37, 0.22
28980.0, 54, 30, 0.22
28981.0, 67, 37, 0.22
28982.0, 55, 30, 0.22
28983.0, 79, 43, 0.22
28984.0, 46, 25, 0.22
28985.0, 68, 37, 0.22
28986.0, 55, 30, 0.22
28987.0, 59, 33, 0.22
28988.0, 57, 32, 0.22
28989.0, 64, 35, 0.22
28990.0, 56, 31, 0.22
28991.0, 72, 40, 0.22
28992.0, 79, 43, 0.22
28993.0, 58, 32, 0.22
28994.0, 66, 36, 0.22
28995.0, 49, 27, 0.22
28996.0, 59, 32, 0.22
28997.0, 70, 38, 0.22
28998.0, 55, 30, 0.22
28999.0, 37, 20, 0.22
29000.0, 40, 22, 0.22
29001.0, 65, 36, 0.22
29002.0, 61, 34, 0.22
29003.0, 50, 28, 0.22
29004.0, 65, 36, 0.22
29005.0, 64, 35, 0.22
29006.0, 38, 21, 0.22
29007.0, 38, 21, 0.22
29008.0, 50, 28, 0.22
29009.0, 45, 25, 0.22
29010.0, 45, 25, 0.22
29011.0, 40, 22, 0.22
29012.0, 39, 22, 0.22
29013.0, 30, 17, 0.22
29014.0, 56, 31, 0.22
29015.0, 23, 13, 0.22
29016.0, 50, 27, 0.22
29017.0, 61, 34, 0.22
29018.0, 30, 16, 0.22
29019.0, 51, 28, 0.22
29020.0, 40, 22, 0.22
29021.0, 40, 22, 0.22
29022.0, 35, 19, 0.22
29023.0, 37, 21, 0.22
29024.0, 43, 24, 0.22
29025.0, 40, 22, 0.22
29026.0, 42, 23, 0.22
29027.0, 49, 27, 0.22
29028.0, 36, 20, 0.22
29029.0, 43, 24, 0.22
29030.0, 43, 24, 0.22
29031.0, 48, 26, 0.22
29032.0, 23, 13, 0.22
29033.0, 30, 16, 0.22
29034.0, 35, 20, 0.22
29035.0, 33, 18, 0.22
29036.0, 27, 15, 0.22
29037.0, 39, 22, 0.22
29038.0, 32, 18, 0.22
29039.0, 36, 20, 0.22
29040.0, 33, 18, 0.22
29041.0, 45, 25, 0.22
29042.0, 44, 24, 0.22
29043.0, 46, 26, 0.22
29044.0, 35, 19, 0.22
29045.0, 36, 20, 0.22
29046.0, 34, 19, 0.22
29047.0, 35, 19, 0.22
29048.0, 20, 11, 0.22
29049.0, 34, 19, 0.22
29050.0, 47, 26, 0.22
29051.0, 25, 14, 0.22
29052.0, 33, 18, 0.22
29053.0, 39, 22, 0.22
29054.0, 20, 11, 0.22
29055.0, 26, 14, 0.22
29056.0, 27, 15, 0.22
29057.0, 23, 13, 0.22
29058.0, 18, 10, 0.22
29059.0, 40, 22, 0.22
29060.0, 23, 13, 0.22
29061.0, 35, 19, 0.22
29062.0, 45, 25, 0.22
29063.0, 20, 11, 0.22
29064.0, 12, 7, 0.22
29065.0, 18, 10, 0.22
29066.0, 19, 11, 0.22
29067.0, 13, 7, 0.22
29068.0, 15, 8, 0.22
29069.0, 13, 7, 0.22
29070.0, 36, 20, 0.22
29071.0, 18, 10, 0.22
29072.0, 25, 14, 0.22
29073.0, 12, 7, 0.22
29074.0, 41, 23, 0.22
29075.0, 30, 17, 0.22
29076.0, 35, 19, 0.22
29077.0, 25, 14, 0.22
29078.0, 23, 12, 0.22
29079.0, 20, 11, 0.22
29080.0, 35, 19, 0.22
29081.0, 18, 10, 0.22
29082.0, 20, 11, 0.22
29083.0, 21, 11, 0.22
29084.0, 23, 13, 0.22
29085.0, 10, 6, 0.22
29086.0, 20, 11, 0.22
29087.0, 18, 10, 0.22
29088.0, 40, 22, 0.22
29089.0, 15, 9, 0.22
29090.0, 21, 11, 0.22
29091.0, 27, 15, 0.22
29092.0, 28, 15, 0.22
29093.0, 33, 18, 0.22
29094.0, 18, 10, 0.22
29095.0, 30, 16, 0.22
29096.0, 17, 10, 0.22
29097.0, 20, 11, 0.22
29098.0, 13, 7, 0.22
29099.0, 22, 12, 0.22
29100.0, 13, 7, 0.22
29101.0, 15, 8, 0.22
29102.0, 15, 8, 0.22
29103.0, 28, 15, 0.22
29104.0, 17, 10, 0.22
29105.0, -8888, -8888, 0.22
29106.0, 10, 6, 0.22
29107.0, 12, 7, 0.22
29108.0, 20, 11, 0.22
29109.0, 10, 5, 0.22
29110.0, 15, 8, 0.22
29111.0, 20, 11, 0.22
29112.0, 12, 7, 0.22
29113.0, 15, 8, 0.22
29114.0, 23, 12, 0.22
29115.0, 10, 6, 0.22
29116.0, 17, 9, 0.22
29117.0, 21, 11, 0.22
29118.0, -8888, -8888, 0.22
29119.0, 10, 5, 0.22
29120.0, -8888, -8888, 0.22
29121.0, 20, 11, 0.22
29122.0, 13, 7, 0.22
29123.0, -8888, -8888, 0.22
29124.0, 23, 13, 0.22
29125.0, 12, 7, 0.22
29126.0, -8888, -8888, 0.22
29127.0, 10, 6, 0.22
29128.0, 18, 10, 0.22
29129.0, 13, 7, 0.22
29130.0, -8888, -8888, 0.22
29131.0, 25, 14, 0.22
29132.0, 10, 5, 0.22
29133.0, -8888, -8888, 0.22
29134.0, 13, 7, 0.22
29135.0, -8888, -8888, 0.22
29136.0, -8888, -8888, 0.22
29137.0, 12, 7, 0.22
29138.0, 23, 12, 0.22
29139.0, 12, 7, 0.22
29140.0, 15, 8, 0.22
29141.0, -8888, -8888, 0.22
29142.0, 18, 10, 0.22
29143.0, 15, 8, 0.22
29144.0, -8888, -8888, 0.22
29145.0, 15, 8, 0.22
29146.0, 10, 6, 0.22
29147.0, 15, 8, 0.22
29148.0, 13, 7, 0.22
29149.0, 25, 14, 0.22
29150.0, 10, 5, 0.22
29151.0, -8888, -8888, 0.22
29152.0, 15, 8, 0.22
29153.0, 12, 7, 0.22
29154.0, 17, 10, 0.22
29155.0, -8888, -8888, 0.22
29156.0, 13, 7, 0.22
29157.0, -8888, -8888, 0.22
29158.0, 13, 7, 0.22
29159.0, 21, 11, 0.22
29160.0, 10, 5, 0.22
29161.0, 10, 5, 0.22
29162.0, 15, 8, 0.22
29163.0, 13, 7, 0.22
29164.0, 10, 6, 0.22
29165.0, -8888, -8888, 0.22
29166.0, 18, 10, 0.22
29167.0, 13, 7, 0.22
29168.0, -8888, -8888, 0.22
29169.0, -8888, -8888, 0.22
29170.0, 23, 13, 0.22
29171.0, 10, 5, 0.22
29172.0, -8888, -8888, 0.22
29173.0, 15, 8, 0.22
29174.0, 10, 6, 0.22
29175.0, -8888, -8888, 0.22
29176.0, 10, 6, 0.22
29177.0, 15, 8, 0.22
29178.0, 12, 7, 0.22
29179.0, -8888, -8888, 0.22
29180.0, 10, 6, 0.22
29181.0, 15, 8, 0.22
29182.0, 18, 10, 0.22
29183.0, 15, 8, 0.22
29184.0, -8888, -8888, 0.22
29185.0, 15, 8, 0.22
29186.0, -8888, -8888, 0.22
29187.0, 13, 7, 0.22
29188.0, -8888, -8888, 0.22
29189.0, 10, 5, 0.22
29190.0, 18, 10, 0.22
29191.0, 13, 7, 0.22
29192.0, 17, 10, 0.22
29193.0, 18, 10, 0.34
29194.0, 10, 6, 0.34
29195.0, 15, 8, 0.34
29196.0, 13, 7, 0.34
29197.0, 28, 15, 0.34
29198.0, 17, 10, 0.34
29199.0, 13, 7, 0.34
29200.0, 28, 15, 0.34
29201.0, -8888, -8888, 0.34
29202.0, 13, 7, 0.34
29203.0, 52, 29, 0.34
29204.0, -8888, -8888, 0.34
29205.0, -8888, -8888, 0.34
29206.0, -8888, -8888, 0.34
29207.0, -8888, -8888, 0.34
29208.0, -8888, -8888, 0.34
29209.0, -8888, -8888, 0.34
29210.0, -8888, -8888, 0.34
29211.0, -8888, -8888, 0.34
29212.0, -8888, -8888, 0.34
29213.0, -8888, -8888, 0.34
29214.0, -8888, -8888, 0.34
29215.0, 5192, 2862, 0.34
29216.0, 743, 409, 0.34
29217.0, 250, 138, 0.34
29218.0, 151, 83, 0.34
29219.0, 191, 105, 0.34
29220.0, 138, 76, 0.34
29221.0, 182, 100, 0.34
29222.0, 111, 61, 0.34
29223.0, 211, 116, 0.34
29224.0, 121, 67, 0.34
29225.0, 166, 91, 0.34
29226.0, 230, 127, 0.34
29227.0, 356, 196, 0.34
29228.0, 189, 104, 0.34
29229.0, 367, 202, 0.34
29230.0, 110, 61, 0.34
29231.0, 33, 18, 0.34
29232.0, 20, 11, 0.34
29233.0, 10, 6, 0.34
29234.0, 18, 10, 0.34
29235.0, 30, 17, 0.34
29236.0, 23, 13, 0.34
29237.0, 17, 10, 0.34
29238.0, 10, 6, 0.34
29239.0, 18, 10, 0.34
29240.0, 15, 8, 0.34
29241.0, 13, 7, 0.34
29242.0, 10, 5, 0.34
29243.0, -8888, -8888, 0.34
29244.0, -8888, -8888, 0.34
29245.0, -8888, -8888, 0.34
29246.0, -8888, -8888, 0.34
29247.0, -8888, -8888, 0.34
29248.0, -8888, -8888, 0.34
29249.0, -8888, -8888, 0.34
29250.0, 12, 7, 0.34
29251.0, -8888, -8888, 0.34
29252.0, -8888, -8888, 0.34
29253.0, -8888, -8888, 0.34
29254.0, -8888, -8888, 0.34
29255.0, -8888, -8888, 0.34
29256.0, 13, 7, 0.34
29257.0, 10, 6, 0.34
29258.0, -8888, -8888, 0.34
29259.0, -8888, -8888, 0.34
29260.0, 12, 7, 0.34
29261.0, -8888, -8888, 0.34
29262.0, 10, 6, 0.34
29263.0, 15, 8, 0.34
29264.0, 25, 14, 0.34
29265.0, 10, 6, 0.34
29266.0, 23, 12, 0.34
29267.0, -8888, -8888, 0.34
29268.0, -8888, -8888, 0.34
29269.0, 13, 7, 0.34
29270.0, 10, 6, 0.34
29271.0, 15, 8, 0.34
29272.0, 25, 14, 0.34
29273.0, -8888, -8888, 0.34
29274.0, 15, 8, 0.34
29275.0, 28, 15, 0.34
29276.0, 12, 7, 0.34
29277.0, -8888, -8888, 0.34
29278.0, -8888, -8888, 0.34
29279.0, 17, 9, 0.34
29280.0, -8888, -8888, 0.34
29281.0, 18, 10, 0.34
29282.0, 15, 8, 0.34
29283.0, 10, 6, 0.34
29284.0, 15, 9, 0.34
29285.0, -8888, -8888, 0.34
29286.0, 15, 8, 0.34
29287.0, -8888, -8888, 0.34
29288.0, -8888, -8888, 0.34
29289.0, -8888, -8888, 0.34
29290.0, 12, 7, 0.34
29291.0, 10, 6, 0.34
29292.0, 13, 7, 0.34
29293.0, 12, 7, 0.34
29294.0, -8888, -8888, 0.34
29295.0, -8888, -8888, 0.34
29296.0, -8888, -8888, 0.34
29297.0, -8888, -8888, 0.34
29298.0, -8888, -8888, 0.34
29299.0, -8888, -8888, 0.34
29300.0, -8888, -8888, 0.34
29301.0, 10, 6, 0.34
29302.0, -8888, -8888, 0.34
29303.0, -8888, -8888, 0.34
29304.0, -8888, -8888, 0.34
29305.0, 17, 10, 0.34
29306.0, 10, 6, 0.34
29307.0, 10, 5, 0.34
29308.0, -8888, -8888, 0.34
29309.0, 17, 10, 0.34
29310.0, 10, 5, 0.34
29311.0, 13, 7, 0.34
29312.0, -8888, -8888, 0.34
29313.0, 10, 6, 0.34
29314.0, 13, 7, 0.34
29315.0, -8888, -8888, 0.34
29316.0, -8888, -8888, 0.34
29317.0, -8888, -8888, 0.34
29318.0, -8888, -8888, 0.34
29319.0, 15, 8, 0.34
29320.0, -8888, -8888, 0.34
29321.0, 10, 6, 0.34
29322.0, 10, 6, 0.34
29323.0, 10, 6, 0.34
29324.0, -8888, -8888, 0.34
29325.0, 10, 6, 0.34
29326.0, -8888, -8888, 0.34
29327.0, 15, 8, 0.34
